date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,4.7,17.8,11.25,66,15.4,0.0,0
2013-01-09,4.8,19.7,12.25,65,14.0,0.0,0
2013-01-10,8.7,20.7,14.7,67,18.1,0.0,6
2013-01-11,8.2,21.9,15.049999999999999,60,16.5,0.0,0
2013-01-12,8.8,23.0,15.9,73,9.7,0.0,0
2013-01-13,10.7,24.5,17.6,75,13.2,0.0,1
2013-01-14,10.9,21.8,16.35,75,8.6,0.0,2
2013-01-15,9.4,22.6,16.0,76,11.4,0.0,2
2013-01-16,12.2,24.2,18.2,75,10.5,0.0,68
2013-01-17,14.3,24.3,19.3,81,16.9,7.6,47
2013-01-18,11.4,19.8,15.600000000000001,80,22.9,14.6,40
2013-01-19,7.4,18.3,12.850000000000001,74,13.7,0.0,3
2013-01-20,6.3,17.9,12.1,72,14.8,0.0,0
2013-01-21,5.9,18.1,12.0,72,10.7,0.0,7
2013-01-22,4.9,17.8,11.350000000000001,71,8.1,0.0,0
2013-01-23,4.2,17.8,11.0,73,10.0,0.0,0
2013-01-24,5.3,19.2,12.25,75,9.4,0.0,0
2013-01-25,5.9,19.8,12.850000000000001,70,11.4,0.0,0
2013-01-26,5.1,20.1,12.600000000000001,67,12.6,0.0,0
2013-01-27,4.7,21.0,12.85,68,10.9,0.0,19
2013-01-28,6.4,21.4,13.899999999999999,69,9.3,0.0,46
2013-01-29,6.3,22.6,14.450000000000001,74,12.6,0.0,15
2013-01-30,7.4,21.9,14.649999999999999,73,9.1,0.0,41
2013-01-31,8.6,21.3,14.95,76,9.3,0.0,87
2013-02-01,7.7,22.3,15.0,75,8.8,0.0,34
2013-02-02,11.6,22.5,17.05,75,7.7,0.1,55
2013-02-03,10.0,23.5,16.75,76,9.0,1.0,55
2013-02-04,15.4,23.8,19.6,72,22.2,0.3,92
2013-02-05,15.3,19.9,17.6,88,21.3,29.0,70
2013-02-06,12.8,20.8,16.8,82,14.0,1.6,30
2013-02-07,8.4,19.4,13.899999999999999,73,15.8,0.0,0
2013-02-08,8.3,20.3,14.3,74,13.4,0.0,0
2013-02-09,7.2,20.7,13.95,71,8.4,0.0,1
2013-02-10,7.1,21.2,14.149999999999999,71,9.7,0.0,6
2013-02-11,6.7,21.8,14.25,75,10.2,0.0,5
2013-02-12,9.9,22.9,16.4,75,9.7,0.0,35
2013-02-13,8.4,23.7,16.05,72,10.9,0.0,23
