date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,6.4,21.5,13.95,45,10.7,0.0,0
2013-01-09,7.2,23.2,15.2,47,9.8,0.0,0
2013-01-10,8.5,24.5,16.5,49,10.7,0.0,0
2013-01-11,10.6,25.0,17.8,51,10.3,0.0,0
2013-01-12,13.5,26.6,20.05,48,9.9,0.0,0
2013-01-13,14.5,28.4,21.45,48,13.6,0.0,0
2013-01-14,13.1,27.4,20.25,59,8.6,0.0,0
2013-01-15,14.6,28.7,21.65,53,10.8,0.0,27
2013-01-16,15.0,27.8,21.4,54,9.3,0.0,97
2013-01-17,16.9,29.2,23.049999999999997,51,25.5,0.0,57
2013-01-18,15.0,24.8,19.9,49,20.8,0.0,8
2013-01-19,10.6,21.4,16.0,50,14.1,0.0,0
2013-01-20,9.1,20.3,14.7,52,13.3,0.0,0
2013-01-21,7.8,20.8,14.3,46,11.8,0.0,0
2013-01-22,8.4,21.7,15.05,48,12.1,0.0,0
2013-01-23,10.1,22.1,16.1,52,11.4,0.0,28
2013-01-24,11.1,22.0,16.55,57,12.1,0.2,31
2013-01-25,10.1,22.8,16.45,50,11.4,0.0,5
2013-01-26,9.8,23.2,16.5,50,9.9,0.0,3
2013-01-27,9.3,22.8,16.05,49,9.7,0.0,70
2013-01-28,8.5,23.9,16.2,46,10.9,0.0,26
2013-01-29,8.8,24.4,16.6,45,11.4,0.0,29
2013-01-30,10.2,24.7,17.45,47,13.7,0.0,40
2013-01-31,12.3,24.4,18.35,48,10.5,0.0,81
2013-02-01,14.4,26.2,20.3,50,11.3,0.0,48
2013-02-02,14.4,28.0,21.2,52,11.2,0.0,50
2013-02-03,14.8,27.3,21.05,53,11.2,0.0,21
2013-02-04,17.7,29.2,23.45,59,22.1,6.5,70
2013-02-05,17.1,26.3,21.700000000000003,74,11.2,4.0,33
2013-02-06,15.8,24.3,20.05,74,12.8,2.6,46
2013-02-07,14.6,22.4,18.5,70,17.6,0.0,20
2013-02-08,10.9,22.1,16.5,56,12.0,0.0,0
2013-02-09,9.4,23.9,16.65,59,11.4,0.0,0
2013-02-10,13.0,27.3,20.15,59,11.6,0.0,14
2013-02-11,15.7,28.6,22.15,62,11.3,0.6,39
2013-02-12,16.2,27.0,21.6,71,11.5,0.5,54
2013-02-13,16.3,27.9,22.1,67,10.7,0.4,26
2013-02-14,16.9,25.9,21.4,68,12.3,1.5,38
2013-02-15,16.6,24.1,20.35,80,15.3,12.2,46
2013-02-16,14.9,23.3,19.1,73,23.9,14.1,40
2013-02-17,10.7,21.2,15.95,59,13.5,0.0,7
2013-02-18,9.6,21.7,15.649999999999999,66,9.1,0.0,0
2013-02-19,10.2,23.7,16.95,66,9.9,0.0,3
2013-02-20,12.1,24.5,18.3,64,9.3,0.0,0
2013-02-21,12.0,26.1,19.05,61,13.2,0.0,0
2013-02-22,14.4,29.2,21.8,58,10.4,1.7,15
2013-02-23,16.4,29.0,22.7,66,21.2,2.5,16
2013-02-24,14.8,24.8,19.8,74,15.6,0.0,33
2013-02-25,13.2,25.7,19.45,63,11.5,0.0,0
2013-02-26,13.7,29.7,21.7,55,12.6,0.0,3
2013-02-27,18.1,30.3,24.200000000000003,48,10.5,0.0,33
2013-02-28,14.3,29.3,21.8,51,10.5,0.0,12
2013-03-01,14.6,27.5,21.05,50,11.8,0.0,0
2013-03-02,11.8,28.9,20.35,42,10.2,0.0,0
2013-03-03,11.7,30.3,21.0,44,11.5,0.0,0
2013-03-04,12.9,31.2,22.05,40,11.1,0.0,0
2013-03-05,14.2,31.4,22.799999999999997,35,12.9,0.0,0
2013-03-06,14.2,30.7,22.45,32,11.2,0.0,0
2013-03-07,14.2,31.1,22.65,34,11.5,0.0,0
2013-03-08,15.2,31.7,23.45,34,11.3,0.0,0
2013-03-09,15.5,33.4,24.45,32,11.2,0.0,0
2013-03-10,17.5,33.7,25.6,30,11.3,0.0,0
2013-03-11,18.2,33.6,25.9,29,12.0,0.0,44
2013-03-12,17.8,34.2,26.0,31,11.7,0.0,40
2013-03-13,17.4,33.6,25.5,35,9.5,0.0,80
2013-03-14,19.6,32.1,25.85,31,12.0,0.0,15
2013-03-15,20.0,31.5,25.75,42,18.2,2.9,24
2013-03-16,18.5,29.1,23.8,63,13.8,13.4,44
2013-03-17,17.3,29.0,23.15,68,14.9,3.8,26
2013-03-18,16.4,30.0,23.2,52,11.0,0.0,0
2013-03-19,20.2,31.9,26.049999999999997,37,9.2,0.0,3
2013-03-20,21.1,32.5,26.8,43,14.4,0.0,49
2013-03-21,20.5,33.3,26.9,38,12.5,0.0,13
2013-03-22,18.9,34.1,26.5,35,10.2,0.0,89
2013-03-23,18.7,34.1,26.4,37,10.7,0.0,9
2013-03-24,20.8,33.8,27.299999999999997,39,8.8,0.0,19
2013-03-25,20.5,35.1,27.8,38,16.1,0.0,37
2013-03-26,20.3,34.4,27.35,35,10.8,0.0,73
2013-03-27,21.7,34.5,28.1,37,10.8,0.4,92
2013-03-28,21.8,34.7,28.25,39,12.3,0.3,53
2013-03-29,20.6,33.0,26.8,36,15.3,0.0,6
2013-03-30,19.3,32.5,25.9,34,14.3,0.0,1
2013-03-31,20.1,33.0,26.55,37,9.7,0.0,56
2013-04-01,20.2,35.3,27.75,31,13.1,0.0,4
2013-04-02,23.0,37.1,30.05,28,20.1,0.3,32
2013-04-03,21.6,34.9,28.25,26,14.6,0.0,6
2013-04-04,19.5,34.2,26.85,35,13.4,0.0,2
2013-04-05,20.7,34.7,27.700000000000003,28,14.6,0.0,0
2013-04-06,20.5,36.2,28.35,23,13.6,0.0,0
2013-04-07,20.6,37.2,28.900000000000002,23,10.6,0.0,0
2013-04-08,23.4,37.6,30.5,21,19.7,0.0,42
2013-04-09,22.9,38.1,30.5,23,13.0,0.0,12
2013-04-10,24.9,37.4,31.15,24,17.8,0.0,20
2013-04-11,23.8,37.1,30.450000000000003,25,15.6,0.0,6
2013-04-12,23.8,37.6,30.700000000000003,23,14.6,0.0,15
2013-04-13,23.4,37.7,30.55,24,15.4,0.0,35
2013-04-14,24.5,37.5,31.0,24,17.7,0.0,14
2013-04-15,24.8,37.9,31.35,24,16.9,0.0,1
2013-04-16,23.8,38.5,31.15,20,16.8,0.0,3
2013-04-17,25.4,37.1,31.25,24,16.9,0.0,17
2013-04-18,24.9,35.7,30.3,28,20.3,0.0,60
2013-04-19,23.8,33.6,28.700000000000003,39,12.6,3.1,70
2013-04-20,22.2,32.2,27.200000000000003,40,13.1,0.8,64
2013-04-21,21.0,33.1,27.05,44,7.8,0.1,35
2013-04-22,21.9,32.3,27.099999999999998,44,10.2,0.0,36
2013-04-23,22.6,34.4,28.5,43,11.7,1.5,32
2013-04-24,23.1,35.0,29.05,40,7.1,0.0,27
2013-04-25,24.1,37.5,30.8,39,11.4,1.0,28
2013-04-26,24.9,37.6,31.25,37,12.1,0.0,13
2013-04-27,25.3,39.0,32.15,27,13.2,0.0,6
2013-04-28,25.6,38.7,32.150000000000006,31,13.0,0.0,15
2013-04-29,25.1,39.4,32.25,30,10.2,0.0,3
2013-04-30,27.2,39.9,33.55,23,16.8,0.0,11
2013-05-01,25.4,40.4,32.9,24,17.7,0.0,5
2013-05-02,24.8,39.2,32.0,16,16.3,0.0,0
2013-05-03,23.3,38.9,31.1,17,15.0,0.0,0
2013-05-04,26.8,39.5,33.15,23,18.7,0.0,3
2013-05-05,27.2,40.8,34.0,26,15.4,0.0,12
2013-05-06,28.0,40.4,34.2,22,17.1,0.0,1
2013-05-07,28.8,41.5,35.15,22,18.7,0.0,0
2013-05-08,27.6,41.6,34.6,21,15.0,0.0,1
2013-05-09,28.6,40.6,34.6,16,19.4,0.0,2
2013-05-10,26.9,40.0,33.45,18,18.0,0.0,39
2013-05-11,27.9,38.4,33.15,21,21.0,0.0,11
2013-05-12,26.1,38.2,32.150000000000006,22,15.0,0.0,7
2013-05-13,25.8,36.7,31.25,32,9.5,0.0,16
2013-05-14,26.5,38.5,32.5,27,10.1,0.0,11
2013-05-15,26.7,39.4,33.05,26,11.7,0.0,15
2013-05-16,26.7,40.0,33.35,23,16.9,0.0,21
2013-05-17,28.7,41.0,34.85,25,22.1,0.0,15
2013-05-18,29.3,41.9,35.6,24,18.8,0.0,12
2013-05-19,30.0,42.2,36.1,21,17.9,0.0,7
2013-05-20,30.3,42.9,36.6,15,22.7,0.0,9
2013-05-21,30.5,43.0,36.75,16,21.6,0.0,3
2013-05-22,30.5,42.2,36.35,15,23.1,0.0,0
2013-05-23,29.0,40.9,34.95,17,21.4,0.0,0
2013-05-24,28.6,41.4,35.0,25,22.5,0.0,2
2013-05-25,28.3,40.0,34.15,30,22.5,0.0,9
2013-05-26,28.6,39.6,34.1,31,21.9,0.0,12
2013-05-27,29.0,39.3,34.15,31,23.2,0.0,44
2013-05-28,30.1,38.1,34.1,33,23.9,0.0,38
2013-05-29,30.6,39.6,35.1,27,22.6,0.0,22
