date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,22.6,28.8,25.700000000000003,76,19.5,0.0,77
2013-01-09,22.4,28.5,25.45,78,23.9,0.0,60
2013-01-10,21.3,28.9,25.1,78,15.8,0.0,44
2013-01-11,21.1,28.5,24.8,75,17.3,0.0,6
2013-01-12,20.5,28.3,24.4,71,14.8,0.0,2
2013-01-13,17.9,28.5,23.2,74,12.9,0.0,3
2013-01-14,17.6,28.3,22.950000000000003,75,10.3,0.0,82
2013-01-15,18.1,28.2,23.15,77,13.5,0.0,22
2013-01-16,20.3,28.4,24.35,76,13.7,0.0,21
2013-01-17,21.3,28.2,24.75,70,14.7,0.0,41
2013-01-18,22.0,27.7,24.85,67,17.9,0.0,52
2013-01-19,20.0,28.6,24.3,69,13.5,0.0,26
2013-01-20,20.7,28.6,24.65,79,16.5,0.2,61
2013-01-21,20.4,28.6,24.5,74,17.4,0.0,8
2013-01-22,21.4,28.7,25.049999999999997,70,18.3,0.0,26
2013-01-23,21.1,28.5,24.8,66,22.2,0.0,27
2013-01-24,21.0,28.6,24.8,68,18.9,0.0,25
2013-01-25,21.6,28.5,25.05,67,19.2,0.0,22
2013-01-26,20.3,28.7,24.5,70,16.3,0.0,16
2013-01-27,20.0,29.0,24.5,75,13.0,0.0,24
2013-01-28,20.6,29.2,24.9,76,15.5,0.0,24
2013-01-29,20.9,29.1,25.0,75,14.0,0.0,23
2013-01-30,21.0,29.1,25.05,74,16.6,0.0,19
2013-01-31,21.4,29.4,25.4,69,19.8,0.0,11
2013-02-01,20.7,28.3,24.5,68,18.1,0.0,14
2013-02-02,20.6,28.8,24.700000000000003,68,17.4,0.0,14
2013-02-03,20.0,29.6,24.8,71,16.9,0.0,81
2013-02-04,20.7,29.4,25.049999999999997,73,16.5,0.0,75
2013-02-05,22.7,30.1,26.4,71,15.5,0.0,35
2013-02-06,22.5,29.9,26.2,74,15.5,0.0,50
2013-02-07,20.0,30.9,25.45,78,14.9,0.0,16
2013-02-08,20.8,31.2,26.0,77,15.8,0.0,21
2013-02-09,22.1,29.3,25.700000000000003,72,19.0,0.0,40
2013-02-10,23.9,29.6,26.75,65,24.0,0.0,51
2013-02-11,23.8,29.8,26.8,66,21.8,0.0,91
2013-02-12,22.6,29.1,25.85,72,21.5,0.0,81
2013-02-13,23.4,30.1,26.75,66,18.5,0.0,74
2013-02-14,24.1,29.6,26.85,73,14.2,0.0,88
2013-02-15,23.6,29.2,26.4,77,14.7,0.3,57
2013-02-16,23.5,31.3,27.4,81,18.6,2.5,48
2013-02-17,24.3,31.5,27.9,82,15.8,4.3,52
2013-02-18,23.4,29.2,26.299999999999997,84,12.3,12.6,52
2013-02-19,23.8,29.6,26.700000000000003,79,16.7,1.3,36
2013-02-20,24.1,29.5,26.8,76,15.8,0.0,41
2013-02-21,23.3,29.1,26.200000000000003,74,16.9,0.0,34
2013-02-22,21.6,29.5,25.55,74,15.3,0.0,15
2013-02-23,20.5,29.4,24.95,73,14.8,0.0,22
2013-02-24,18.8,29.1,23.950000000000003,73,14.3,0.0,5
2013-02-25,17.7,30.0,23.85,74,13.0,0.0,4
2013-02-26,17.7,31.2,24.45,74,14.8,0.0,14
2013-02-27,19.4,31.8,25.6,74,14.3,0.0,35
2013-02-28,20.2,31.5,25.85,74,13.7,0.0,16
2013-03-01,19.6,31.3,25.450000000000003,71,15.9,0.0,8
2013-03-02,20.4,31.2,25.799999999999997,72,15.6,0.0,1
2013-03-03,19.9,31.0,25.45,73,19.4,0.0,20
2013-03-04,20.8,30.8,25.8,70,17.1,0.0,70
2013-03-05,24.4,30.7,27.549999999999997,71,22.5,0.2,94
2013-03-06,25.2,29.1,27.15,81,13.6,7.5,92
2013-03-07,24.9,30.2,27.549999999999997,81,17.6,0.7,93
2013-03-08,24.0,30.8,27.4,78,13.7,0.0,94
2013-03-09,22.8,32.2,27.5,77,15.1,0.4,23
2013-03-10,24.2,32.2,28.200000000000003,79,18.2,0.0,40
2013-03-11,21.9,32.4,27.15,75,17.3,0.0,23
2013-03-12,21.9,32.4,27.15,75,16.5,0.0,22
2013-03-13,20.9,32.1,26.5,76,14.2,0.0,20
2013-03-14,22.4,32.3,27.349999999999998,72,15.4,0.0,12
2013-03-15,23.9,31.5,27.7,76,16.3,0.0,19
2013-03-16,23.0,32.1,27.55,72,14.2,0.0,16
2013-03-17,22.1,32.8,27.45,71,15.0,0.0,13
2013-03-18,20.9,31.9,26.4,74,14.0,0.0,78
2013-03-19,21.1,32.3,26.7,73,15.6,0.0,67
2013-03-20,22.9,33.3,28.099999999999998,74,15.6,0.0,89
2013-03-21,21.8,33.9,27.85,71,17.8,0.0,28
2013-03-22,22.7,34.4,28.549999999999997,70,17.4,0.0,49
2013-03-23,23.8,34.0,28.9,70,19.1,0.0,10
2013-03-24,22.1,32.8,27.45,72,15.8,0.0,10
2013-03-25,23.5,34.0,28.75,73,20.0,0.0,21
2013-03-26,24.2,35.0,29.6,70,21.5,0.0,57
2013-03-27,24.9,35.5,30.2,72,22.5,0.0,57
2013-03-28,24.5,34.6,29.55,72,19.6,0.0,45
2013-03-29,25.6,34.4,30.0,75,23.8,0.0,70
2013-03-30,26.7,34.1,30.4,74,23.7,0.0,59
2013-03-31,26.3,34.9,30.6,72,24.1,0.0,33
2013-04-01,24.7,35.1,29.9,74,22.9,0.0,19
2013-04-02,26.7,34.0,30.35,76,21.1,0.0,77
2013-04-03,25.7,33.8,29.75,73,20.2,0.0,81
2013-04-04,23.9,35.2,29.55,73,21.1,0.0,31
2013-04-05,26.3,36.4,31.35,70,22.2,0.0,90
2013-04-06,27.8,37.1,32.45,71,21.1,0.0,61
2013-04-07,27.3,36.3,31.799999999999997,75,23.5,0.0,86
2013-04-08,27.2,35.2,31.200000000000003,77,20.9,0.0,54
2013-04-09,26.7,34.7,30.700000000000003,77,22.1,0.0,19
2013-04-10,25.9,34.5,30.2,75,19.2,0.0,26
2013-04-11,25.2,34.8,30.0,70,17.8,0.0,26
2013-04-12,25.0,34.6,29.8,71,16.8,0.0,82
2013-04-13,26.0,32.6,29.3,76,20.4,1.3,59
2013-04-14,27.1,33.8,30.45,73,18.2,0.1,47
2013-04-15,27.3,35.9,31.6,72,23.1,0.0,36
2013-04-16,28.3,37.7,33.0,70,20.8,0.0,28
2013-04-17,28.7,37.0,32.85,70,23.8,0.0,15
2013-04-18,28.3,37.0,32.65,71,24.5,0.0,24
2013-04-19,27.6,36.8,32.2,70,23.8,0.0,44
2013-04-20,27.3,35.8,31.549999999999997,73,23.5,0.0,32
2013-04-21,27.3,33.2,30.25,77,21.1,1.8,38
2013-04-22,27.3,33.7,30.5,75,21.6,1.2,31
2013-04-23,27.5,33.2,30.35,78,17.1,1.7,56
2013-04-24,26.8,33.3,30.049999999999997,77,15.3,1.0,65
2013-04-25,27.1,33.3,30.2,75,15.9,0.3,51
2013-04-26,26.6,33.6,30.1,73,16.3,0.0,64
2013-04-27,26.5,35.2,30.85,72,21.2,0.4,31
2013-04-28,27.5,37.1,32.3,69,18.6,0.0,27
2013-04-29,27.8,36.5,32.15,72,22.5,0.0,60
2013-04-30,27.5,35.3,31.4,73,18.3,0.0,56
2013-05-01,26.8,35.8,31.299999999999997,71,20.3,0.0,36
2013-05-02,27.6,36.4,32.0,72,23.5,0.0,65
2013-05-03,27.8,37.3,32.55,71,24.0,0.0,69
2013-05-04,28.3,36.5,32.4,69,21.9,0.0,39
2013-05-05,28.7,36.1,32.4,71,21.7,0.0,93
2013-05-06,27.9,34.6,31.25,73,20.0,0.0,100
2013-05-07,27.4,35.0,31.2,73,19.4,0.0,95
2013-05-08,28.0,37.8,32.9,68,20.7,0.0,57
2013-05-09,28.7,38.1,33.4,68,19.2,0.0,19
