date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,21.3,31.6,26.450000000000003,49,11.8,0.0,86
2013-01-09,21.7,31.7,26.7,54,12.8,0.0,80
2013-01-10,20.4,32.1,26.25,50,9.8,0.0,23
2013-01-11,18.8,31.6,25.200000000000003,56,12.9,0.0,54
2013-01-12,18.2,30.8,24.5,54,13.1,0.0,7
2013-01-13,18.3,31.4,24.85,47,14.3,0.0,33
2013-01-14,18.9,30.8,24.85,41,13.7,0.0,68
2013-01-15,18.5,31.0,24.75,41,15.8,0.0,0
2013-01-16,16.7,30.2,23.45,53,14.9,0.0,0
2013-01-17,16.8,30.2,23.5,55,13.5,0.0,8
2013-01-18,17.2,30.8,24.0,54,13.1,0.0,13
2013-01-19,18.5,31.9,25.2,52,10.1,0.0,46
2013-01-20,17.7,31.5,24.6,50,12.4,0.0,23
2013-01-21,18.4,31.7,25.049999999999997,57,12.4,0.0,23
2013-01-22,18.8,31.7,25.25,45,14.2,0.0,51
2013-01-23,18.4,31.4,24.9,46,12.8,0.0,11
2013-01-24,19.3,31.8,25.55,42,12.0,0.0,9
2013-01-25,17.7,31.7,24.7,53,12.8,0.0,5
2013-01-26,18.7,31.5,25.1,44,12.1,0.0,1
2013-01-27,18.6,31.4,25.0,44,14.5,0.0,7
2013-01-28,16.8,31.5,24.15,49,11.7,0.0,4
2013-01-29,17.1,31.2,24.15,52,10.5,0.0,21
2013-01-30,18.2,32.0,25.1,50,13.4,0.0,2
2013-01-31,18.8,30.8,24.8,53,14.8,0.0,7
2013-02-01,17.4,31.4,24.4,44,14.6,0.0,48
2013-02-02,17.4,31.5,24.45,44,12.6,0.0,3
2013-02-03,18.2,31.8,25.0,41,10.7,0.0,77
2013-02-04,17.9,31.6,24.75,48,10.5,0.0,45
2013-02-05,18.6,31.5,25.05,55,14.0,0.0,34
2013-02-06,21.9,31.6,26.75,61,11.7,0.2,62
2013-02-07,20.9,33.6,27.25,53,13.4,0.0,46
2013-02-08,21.8,32.9,27.35,63,6.5,0.7,33
2013-02-09,20.7,33.4,27.049999999999997,51,11.2,0.0,17
2013-02-10,19.7,33.6,26.65,47,13.5,0.0,30
2013-02-11,20.2,31.6,25.9,52,16.3,0.0,78
2013-02-12,20.6,32.7,26.650000000000002,52,16.7,0.0,76
2013-02-13,22.0,31.4,26.7,52,15.0,0.7,67
2013-02-14,22.4,30.0,26.2,69,14.4,3.2,96
2013-02-15,21.6,28.2,24.9,71,9.4,0.4,73
2013-02-16,21.9,32.1,27.0,70,15.6,1.6,51
2013-02-17,21.4,32.8,27.099999999999998,68,12.7,0.6,32
2013-02-18,22.7,31.6,27.15,71,8.6,3.7,38
2013-02-19,22.2,27.7,24.95,76,10.1,5.4,78
2013-02-20,21.1,31.9,26.5,65,11.8,0.0,43
2013-02-21,20.2,32.9,26.549999999999997,54,12.6,0.0,4
2013-02-22,18.3,32.6,25.450000000000003,49,14.7,0.0,0
2013-02-23,19.0,33.2,26.1,44,11.2,0.0,30
2013-02-24,19.0,33.7,26.35,43,12.5,0.0,0
2013-02-25,20.5,33.7,27.1,33,11.4,0.0,0
2013-02-26,20.0,34.3,27.15,24,13.0,0.0,17
2013-02-27,20.6,34.6,27.6,23,9.7,0.0,8
2013-02-28,21.5,34.8,28.15,25,11.6,0.0,6
2013-03-01,22.1,35.3,28.7,25,13.9,0.0,2
2013-03-02,21.4,34.7,28.05,22,15.8,0.0,12
2013-03-03,21.5,35.2,28.35,29,13.1,0.0,40
2013-03-04,21.5,34.6,28.05,30,13.2,0.0,92
2013-03-05,21.5,32.6,27.05,69,18.9,5.0,56
2013-03-06,22.0,28.6,25.3,79,16.9,3.9,92
2013-03-07,22.1,30.5,26.3,74,15.2,4.2,92
2013-03-08,21.6,32.1,26.85,65,11.1,0.0,95
2013-03-09,22.3,32.3,27.299999999999997,69,6.8,4.7,87
2013-03-10,21.9,33.7,27.8,62,10.5,0.0,43
2013-03-11,22.6,33.7,28.150000000000002,60,8.3,0.0,62
2013-03-12,21.8,35.2,28.5,57,6.8,0.0,53
2013-03-13,21.9,36.3,29.099999999999998,47,12.3,0.0,11
2013-03-14,21.9,35.2,28.55,45,11.4,0.0,8
2013-03-15,20.0,34.8,27.4,50,13.8,0.0,6
2013-03-16,23.1,32.7,27.900000000000002,69,10.2,5.2,53
2013-03-17,22.9,34.3,28.599999999999998,59,11.1,0.0,39
2013-03-18,22.3,34.9,28.6,60,13.4,0.0,90
2013-03-19,22.2,36.2,29.200000000000003,52,8.7,0.2,60
2013-03-20,21.5,36.4,28.95,41,12.6,0.0,68
2013-03-21,23.7,36.5,30.1,41,14.1,0.0,54
2013-03-22,22.9,37.5,30.2,44,11.8,0.0,53
2013-03-23,23.6,36.7,30.150000000000002,45,13.3,0.0,12
2013-03-24,22.1,36.8,29.45,46,11.9,0.0,8
2013-03-25,23.1,36.1,29.6,51,14.7,0.0,30
2013-03-26,23.7,36.2,29.950000000000003,61,16.9,0.6,52
2013-03-27,23.7,36.5,30.1,58,10.8,0.0,74
2013-03-28,24.3,36.5,30.4,64,18.1,0.0,73
2013-03-29,23.7,36.4,30.049999999999997,60,16.3,0.2,85
2013-03-30,23.4,36.6,30.0,59,17.7,0.0,70
2013-03-31,23.8,36.7,30.25,60,16.9,0.0,36
2013-04-01,24.2,36.4,30.299999999999997,62,18.0,0.1,37
2013-04-02,24.4,36.7,30.55,60,14.5,0.0,91
2013-04-03,24.9,36.7,30.8,58,14.0,0.0,99
2013-04-04,24.2,36.6,30.4,60,14.4,0.1,43
2013-04-05,24.0,37.4,30.7,58,18.2,0.0,77
2013-04-06,24.8,34.0,29.4,62,17.1,1.9,79
2013-04-07,24.4,36.3,30.349999999999998,58,12.2,0.5,87
2013-04-08,24.4,37.8,31.099999999999998,53,10.0,0.7,64
2013-04-09,25.3,36.1,30.700000000000003,60,15.5,0.1,37
2013-04-10,24.9,36.5,30.7,61,16.3,0.0,22
2013-04-11,23.9,37.2,30.55,59,16.3,0.0,44
2013-04-12,23.8,37.8,30.799999999999997,51,12.5,0.0,86
2013-04-13,24.4,37.2,30.8,48,16.3,0.0,49
2013-04-14,24.2,37.6,30.9,58,16.9,0.0,57
2013-04-15,24.9,34.5,29.7,69,20.1,1.1,88
2013-04-16,24.1,35.9,30.0,62,15.3,1.9,61
2013-04-17,24.3,35.4,29.85,63,15.6,0.9,36
2013-04-18,24.1,34.6,29.35,60,14.5,1.6,42
2013-04-19,23.0,36.6,29.8,53,14.3,0.0,45
2013-04-20,23.2,35.9,29.549999999999997,54,15.3,0.0,24
2013-04-21,22.2,36.1,29.15,54,14.6,0.0,25
2013-04-22,22.9,35.7,29.3,56,15.8,0.0,16
2013-04-23,24.3,35.8,30.049999999999997,61,13.2,1.8,80
2013-04-24,24.6,33.7,29.150000000000002,64,11.2,4.6,88
2013-04-25,24.0,34.3,29.15,70,10.2,6.8,81
2013-04-26,24.2,34.3,29.25,61,9.1,0.4,72
2013-04-27,24.9,33.8,29.349999999999998,66,13.0,0.6,88
2013-04-28,24.3,35.2,29.75,67,14.7,1.7,66
2013-04-29,23.7,35.5,29.6,67,12.9,0.2,56
2013-04-30,24.8,37.2,31.0,55,10.1,0.0,47
2013-05-01,25.4,37.1,31.25,55,17.4,0.1,67
2013-05-02,25.5,35.8,30.65,64,18.5,0.0,100
2013-05-03,24.6,36.5,30.55,65,19.9,0.2,81
2013-05-04,25.2,32.7,28.950000000000003,72,16.1,3.1,99
2013-05-05,25.2,35.3,30.25,66,15.6,1.2,98
2013-05-06,24.7,33.7,29.200000000000003,66,11.8,0.0,100
2013-05-07,25.1,34.5,29.8,68,18.4,0.6,99
2013-05-08,24.6,34.7,29.650000000000002,68,17.8,0.0,96
2013-05-09,24.5,35.8,30.15,69,22.9,0.4,70
2013-05-10,24.4,35.1,29.75,68,18.4,1.6,46
2013-05-11,24.5,35.8,30.15,64,19.8,0.8,92
2013-05-12,24.2,33.0,28.6,65,17.7,1.0,99
2013-05-13,24.1,32.6,28.35,78,15.3,7.7,100
2013-05-14,23.9,32.5,28.2,71,19.8,0.3,100
2013-05-15,23.5,32.3,27.9,68,22.0,0.0,99
2013-05-16,23.3,33.7,28.5,64,18.4,0.3,98
2013-05-17,23.7,35.2,29.450000000000003,64,18.3,0.0,79
2013-05-18,24.1,36.1,30.1,62,18.4,0.0,45
2013-05-19,24.8,36.1,30.450000000000003,63,14.4,0.1,66
2013-05-20,25.1,34.9,30.0,69,20.1,1.9,53
2013-05-21,24.2,35.1,29.65,64,20.9,0.8,50
2013-05-22,24.2,34.0,29.1,65,22.7,0.0,34
2013-05-23,23.9,33.5,28.7,68,25.3,0.0,61
2013-05-24,24.3,31.9,28.1,73,27.3,0.2,50
2013-05-25,23.9,31.4,27.65,74,28.2,0.5,86
2013-05-26,23.4,31.3,27.35,73,22.6,0.9,98
2013-05-27,23.5,32.0,27.75,75,22.9,1.4,88
2013-05-28,23.0,29.5,26.25,78,23.5,1.2,99
2013-05-29,22.8,30.1,26.450000000000003,78,18.3,4.4,99
2013-05-30,23.1,30.9,27.0,76,20.8,0.9,99
2013-05-31,22.4,27.6,25.0,86,16.3,36.9,100
2013-06-01,22.1,27.0,24.55,87,19.7,19.3,100
2013-06-02,21.9,25.2,23.549999999999997,86,19.1,3.7,100
2013-06-03,21.4,25.4,23.4,91,19.0,10.7,100
2013-06-04,21.6,28.6,25.1,80,18.7,0.2,98
2013-06-05,22.2,28.7,25.45,79,16.1,1.7,99
2013-06-06,22.8,28.8,25.8,82,20.0,4.3,92
2013-06-07,21.7,27.3,24.5,87,24.4,6.3,96
2013-06-08,21.5,26.6,24.05,87,21.1,7.6,100
2013-06-09,21.8,26.1,23.950000000000003,86,20.6,1.0,100
2013-06-10,21.8,27.5,24.65,85,23.1,5.4,100
2013-06-11,21.9,25.9,23.9,92,23.5,16.3,100
2013-06-12,21.0,22.5,21.75,96,18.4,28.2,100
2013-06-13,21.1,27.5,24.3,86,26.7,0.2,100
2013-06-14,21.5,26.6,24.05,86,24.0,1.2,100
2013-06-15,21.7,26.6,24.15,88,25.6,3.6,99
2013-06-16,21.7,26.2,23.95,88,24.2,2.1,98
2013-06-17,21.9,25.9,23.9,90,23.4,5.7,100
2013-06-18,21.6,23.4,22.5,96,17.3,25.5,100
2013-06-19,21.2,24.3,22.75,95,17.7,40.7,100
2013-06-20,21.4,23.3,22.35,96,18.0,31.9,100
2013-06-21,21.6,25.7,23.65,91,19.7,5.3,100
2013-06-22,21.7,25.8,23.75,91,20.6,6.1,100
2013-06-23,21.0,26.1,23.55,89,22.1,4.1,100
2013-06-24,21.8,26.2,24.0,87,24.5,0.6,99
2013-06-25,21.6,26.1,23.85,89,24.6,4.2,97
2013-06-26,21.8,26.4,24.1,88,20.1,8.1,95
2013-06-27,21.6,26.8,24.200000000000003,89,17.9,8.0,100
2013-06-28,21.9,27.5,24.7,85,16.3,1.1,98
2013-06-29,21.6,27.6,24.6,83,15.9,0.3,98
2013-06-30,21.8,27.7,24.75,82,19.0,0.8,97
2013-07-01,21.6,27.6,24.6,82,21.5,0.0,98
2013-07-02,21.7,27.1,24.4,83,23.3,0.1,95
2013-07-03,21.5,24.9,23.2,89,20.0,8.7,97
2013-07-04,21.3,27.6,24.450000000000003,85,19.5,6.0,99
2013-07-05,21.5,27.1,24.3,82,17.2,0.0,97
2013-07-06,21.6,28.7,25.15,79,17.2,0.0,91
2013-07-07,22.0,27.1,24.55,84,18.4,0.8,100
2013-07-08,21.8,27.1,24.450000000000003,85,18.5,0.6,100
2013-07-09,21.6,26.8,24.200000000000003,89,18.7,6.1,99
2013-07-10,21.3,26.2,23.75,90,18.0,14.3,100
2013-07-11,21.1,27.1,24.1,86,17.3,8.0,100
2013-07-12,21.2,25.8,23.5,85,20.4,0.7,100
2013-07-13,21.2,26.1,23.65,84,22.7,0.0,94
2013-07-14,21.3,27.7,24.5,81,19.2,0.0,97
2013-07-15,21.7,26.8,24.25,84,21.2,0.5,100
2013-07-16,21.8,26.6,24.200000000000003,85,22.0,0.0,100
2013-07-17,21.9,26.8,24.35,84,21.5,0.1,99
2013-07-18,21.5,27.0,24.25,84,21.9,1.1,98
2013-07-19,21.7,25.5,23.6,89,22.4,4.5,99
2013-07-20,20.8,27.2,24.0,84,22.6,1.0,87
2013-07-21,21.3,26.6,23.950000000000003,86,20.9,1.1,100
2013-07-22,21.8,25.3,23.55,87,21.9,2.0,99
2013-07-23,21.5,26.8,24.15,82,21.8,0.0,99
2013-07-24,21.4,26.0,23.7,88,26.4,4.3,97
2013-07-25,21.1,25.2,23.15,90,23.5,4.7,98
2013-07-26,21.4,25.6,23.5,87,23.8,2.6,100
2013-07-27,21.1,27.2,24.15,80,18.8,0.3,98
2013-07-28,21.5,26.8,24.15,85,20.0,4.5,91
2013-07-29,21.6,28.9,25.25,77,16.6,0.2,95
2013-07-30,21.1,28.1,24.6,79,23.7,0.2,99
2013-07-31,21.6,26.9,24.25,81,26.4,0.1,100
2013-08-01,21.0,26.1,23.55,88,24.2,5.3,100
2013-08-02,20.7,26.8,23.75,86,23.9,1.7,84
2013-08-03,21.1,27.7,24.4,82,19.5,0.0,96
2013-08-04,21.1,25.6,23.35,89,17.1,3.6,99
2013-08-05,21.0,25.5,23.25,91,18.9,7.9,100
2013-08-06,21.0,24.2,22.6,91,14.8,5.7,100
2013-08-07,21.1,28.3,24.700000000000003,80,15.7,0.2,87
2013-08-08,21.3,27.5,24.4,80,17.6,0.3,71
2013-08-09,21.3,27.4,24.35,83,16.1,4.9,94
2013-08-10,21.6,28.7,25.15,82,14.2,4.5,98
2013-08-11,21.2,28.0,24.6,80,16.6,2.7,97
2013-08-12,21.6,27.5,24.55,81,14.2,3.5,100
2013-08-13,21.6,27.7,24.65,80,18.0,0.6,99
2013-08-14,21.5,27.9,24.7,77,18.2,0.0,99
2013-08-15,21.5,28.0,24.75,80,16.3,0.4,99
2013-08-16,21.4,27.8,24.6,85,19.9,4.0,98
2013-08-17,21.5,27.0,24.25,85,19.5,0.0,97
2013-08-18,21.7,26.5,24.1,81,20.3,2.0,100
2013-08-19,21.7,28.9,25.299999999999997,77,21.2,0.0,99
2013-08-20,21.6,27.6,24.6,81,23.1,0.9,99
2013-08-21,21.4,29.1,25.25,78,20.6,0.0,91
2013-08-22,20.8,29.6,25.200000000000003,75,19.5,0.0,93
2013-08-23,21.3,29.6,25.450000000000003,76,18.7,0.0,54
2013-08-24,21.2,29.3,25.25,76,18.8,0.0,72
2013-08-25,21.4,29.3,25.35,77,19.0,0.2,79
2013-08-26,21.3,29.9,25.6,76,18.2,0.9,81
2013-08-27,21.5,30.2,25.85,75,15.1,0.4,98
2013-08-28,22.2,30.5,26.35,76,15.8,1.0,100
2013-08-29,22.0,30.3,26.15,80,11.4,11.3,82
2013-08-30,22.5,31.3,26.9,77,8.7,3.1,56
2013-08-31,22.6,30.8,26.700000000000003,79,11.6,2.7,49
2013-09-01,22.7,31.9,27.299999999999997,78,10.8,3.5,85
2013-09-02,22.5,30.8,26.65,79,16.4,2.1,94
2013-09-03,22.5,28.8,25.65,79,21.8,0.5,92
2013-09-04,21.8,27.5,24.65,79,16.4,2.5,98
2013-09-05,21.9,27.9,24.9,78,16.9,1.9,98
2013-09-06,21.8,27.2,24.5,81,15.6,6.0,98
2013-09-07,21.0,24.3,22.65,91,15.4,13.4,100
2013-09-08,21.3,27.6,24.450000000000003,86,14.7,7.9,91
2013-09-09,21.2,27.4,24.299999999999997,86,15.2,9.1,94
2013-09-10,21.6,27.7,24.65,81,16.1,2.0,91
2013-09-11,21.6,27.0,24.3,83,15.9,3.7,99
