date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,20.1,28.3,24.200000000000003,61,12.8,0.0,43
2013-01-09,19.4,28.8,24.1,52,11.6,0.0,23
2013-01-10,16.9,29.2,23.049999999999997,48,10.2,0.0,0
2013-01-11,15.8,28.3,22.05,36,13.2,0.0,0
2013-01-12,13.8,28.9,21.35,38,10.5,0.0,0
2013-01-13,13.7,30.5,22.1,39,12.0,0.0,0
2013-01-14,16.9,31.3,24.1,40,10.1,0.0,2
2013-01-15,15.9,31.5,23.7,45,10.9,0.0,0
2013-01-16,16.8,30.5,23.65,48,13.8,0.0,0
2013-01-17,17.5,29.5,23.5,55,19.6,0.0,0
2013-01-18,15.8,29.1,22.450000000000003,54,16.8,0.0,0
2013-01-19,16.8,29.0,22.9,58,14.0,0.0,5
2013-01-20,17.8,28.9,23.35,46,14.2,0.0,13
2013-01-21,16.3,28.5,22.4,52,12.1,0.0,7
2013-01-22,17.1,28.7,22.9,59,16.5,0.0,11
2013-01-23,17.1,28.7,22.9,58,16.8,0.0,14
2013-01-24,17.2,29.3,23.25,59,16.5,0.0,7
2013-01-25,17.9,27.8,22.85,63,18.8,0.0,30
2013-01-26,17.8,28.6,23.200000000000003,59,16.5,0.0,19
2013-01-27,18.3,28.7,23.5,56,14.8,0.0,37
2013-01-28,18.7,28.0,23.35,60,12.5,0.0,56
2013-01-29,18.2,27.2,22.7,66,11.8,0.0,26
2013-01-30,18.2,26.8,22.5,67,13.8,0.0,34
2013-01-31,16.9,28.9,22.9,62,14.4,0.0,21
2013-02-01,17.1,28.7,22.9,58,12.3,0.0,1
2013-02-02,16.2,29.4,22.799999999999997,54,13.7,0.0,39
2013-02-03,17.3,30.3,23.8,53,12.9,0.0,68
2013-02-04,18.4,30.5,24.45,52,18.8,0.0,16
2013-02-05,16.6,30.2,23.4,58,18.1,0.0,53
2013-02-06,18.6,31.3,24.950000000000003,54,13.4,0.0,40
2013-02-07,20.2,30.0,25.1,59,10.8,0.0,35
2013-02-08,20.4,29.7,25.049999999999997,59,12.5,0.3,41
2013-02-09,19.3,29.8,24.55,55,18.0,0.0,12
2013-02-10,18.8,30.2,24.5,64,17.6,0.0,8
2013-02-11,18.2,30.7,24.45,61,16.2,0.0,59
