date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,8.5,23.1,15.8,34,12.9,0.0,0
2013-01-09,10.1,24.9,17.5,34,10.5,0.0,0
2013-01-10,9.9,26.2,18.05,37,9.4,0.0,0
2013-01-11,10.9,26.5,18.7,43,9.4,0.0,0
2013-01-12,14.6,28.1,21.35,42,9.4,0.0,0
2013-01-13,13.8,30.0,21.9,44,12.4,0.0,0
2013-01-14,13.3,29.3,21.3,49,12.2,0.0,0
2013-01-15,14.9,29.3,22.1,51,11.3,0.0,33
2013-01-16,14.8,28.3,21.55,51,7.8,0.0,97
2013-01-17,17.7,29.5,23.6,47,23.0,0.0,54
2013-01-18,13.5,23.5,18.5,48,21.2,0.0,4
2013-01-19,10.3,22.9,16.6,41,16.6,0.0,0
2013-01-20,9.9,22.3,16.1,43,15.6,0.0,0
2013-01-21,9.0,22.9,15.95,38,14.0,0.0,0
2013-01-22,10.1,24.2,17.15,40,14.4,0.0,0
2013-01-23,12.6,23.1,17.85,50,14.1,1.0,24
2013-01-24,13.4,23.4,18.4,60,17.4,0.0,24
2013-01-25,12.4,24.6,18.5,49,13.0,0.0,6
2013-01-26,11.9,25.2,18.55,45,12.4,0.0,6
2013-01-27,12.4,24.8,18.6,40,10.9,0.0,63
2013-01-28,12.4,25.5,18.95,38,11.9,0.0,21
2013-01-29,12.8,26.0,19.4,35,10.6,0.0,29
2013-01-30,13.5,25.8,19.65,38,14.8,0.0,54
2013-01-31,16.1,26.4,21.25,40,13.5,0.0,88
2013-02-01,15.5,28.4,21.95,44,10.9,0.0,39
2013-02-02,15.7,29.5,22.6,49,10.9,0.0,73
2013-02-03,16.0,28.8,22.4,53,11.1,0.0,21
2013-02-04,18.9,28.9,23.9,57,16.3,3.3,51
2013-02-05,17.3,25.8,21.55,68,17.3,2.1,29
2013-02-06,15.5,25.7,20.6,56,8.5,0.1,24
2013-02-07,13.9,24.5,19.2,61,18.3,0.0,14
2013-02-08,12.5,24.4,18.45,51,14.6,0.0,0
2013-02-09,11.6,25.7,18.65,51,13.5,0.0,2
2013-02-10,15.6,28.3,21.95,59,14.7,0.0,12
2013-02-11,18.2,29.7,23.95,60,13.5,2.4,28
2013-02-12,16.9,28.2,22.549999999999997,69,9.7,1.3,30
2013-02-13,17.9,28.2,23.049999999999997,57,12.9,0.0,21
2013-02-14,18.4,26.6,22.5,63,13.4,0.0,26
2013-02-15,16.6,26.7,21.65,77,12.6,9.9,22
2013-02-16,14.2,23.3,18.75,63,27.1,7.0,25
2013-02-17,10.6,22.2,16.4,57,10.2,0.0,1
2013-02-18,10.9,23.6,17.25,56,10.7,0.0,0
2013-02-19,11.9,25.3,18.6,56,10.0,0.0,1
2013-02-20,13.7,26.2,19.95,55,10.9,0.0,0
2013-02-21,14.7,27.9,21.299999999999997,52,15.8,0.0,0
2013-02-22,15.3,30.7,23.0,54,13.6,0.2,7
2013-02-23,16.9,30.8,23.85,52,16.8,0.1,7
2013-02-24,14.5,26.7,20.6,53,17.1,0.0,1
2013-02-25,14.3,27.8,21.05,52,14.1,0.0,0
2013-02-26,15.8,31.1,23.450000000000003,43,18.3,0.0,3
2013-02-27,16.6,31.1,23.85,34,11.6,0.0,23
2013-02-28,15.6,30.0,22.8,36,13.7,0.0,1
2013-03-01,16.0,29.4,22.7,37,14.4,0.0,0
2013-03-02,12.8,30.3,21.55,30,12.1,0.0,0
2013-03-03,13.9,31.9,22.9,29,11.5,0.0,0
2013-03-04,14.7,32.4,23.549999999999997,29,10.0,0.0,0
2013-03-05,17.6,32.7,25.150000000000002,26,13.8,0.0,0
2013-03-06,18.0,32.4,25.2,23,14.4,0.0,0
2013-03-07,16.7,32.8,24.75,23,12.9,0.0,0
2013-03-08,16.9,33.4,25.15,26,9.7,0.0,0
2013-03-09,19.2,34.7,26.950000000000003,22,13.9,0.0,0
2013-03-10,19.1,34.7,26.900000000000002,23,15.3,0.0,0
2013-03-11,19.2,34.2,26.700000000000003,27,12.6,0.0,51
