date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,3.3,19.2,11.25,58,10.3,0.0,0
2013-01-09,4.3,21.0,12.65,56,11.2,0.0,0
2013-01-10,8.0,22.7,15.35,60,16.3,0.0,0
2013-01-11,8.4,24.1,16.25,53,14.2,0.0,0
2013-01-12,10.4,26.7,18.55,56,13.0,0.0,0
2013-01-13,12.2,24.4,18.299999999999997,56,15.5,0.0,0
2013-01-14,8.0,22.1,15.05,54,10.3,0.0,1
2013-01-15,10.1,22.7,16.4,66,14.4,0.0,2
2013-01-16,11.9,23.5,17.7,71,11.5,0.0,52
2013-01-17,12.5,22.9,17.7,77,17.7,0.7,37
2013-01-18,9.0,16.5,12.75,74,26.0,15.2,55
2013-01-19,4.7,17.8,11.25,63,9.0,0.0,0
2013-01-20,4.6,18.4,11.5,59,11.9,0.0,0
2013-01-21,4.2,18.4,11.299999999999999,61,9.5,0.0,2
2013-01-22,4.0,18.4,11.2,56,9.0,0.0,0
2013-01-23,4.2,19.2,11.7,59,9.8,0.0,0
2013-01-24,3.9,20.0,11.95,61,9.2,0.0,0
2013-01-25,4.5,20.1,12.3,57,9.8,0.0,0
2013-01-26,4.6,21.1,12.850000000000001,53,9.4,0.0,0
2013-01-27,6.0,22.7,14.35,51,10.0,0.0,32
2013-01-28,9.5,23.5,16.5,51,9.2,0.0,55
2013-01-29,9.2,24.5,16.85,52,9.7,0.0,24
2013-01-30,8.7,22.4,15.549999999999999,56,10.1,0.0,68
2013-01-31,10.7,23.4,17.049999999999997,53,8.8,0.0,80
2013-02-01,10.2,24.5,17.35,53,10.8,0.0,50
2013-02-02,13.0,23.8,18.4,54,13.1,0.0,44
2013-02-03,11.5,21.3,16.4,64,18.0,2.0,77
2013-02-04,15.1,26.7,20.9,64,20.0,0.7,77
2013-02-05,14.3,21.9,18.1,72,18.1,10.6,65
2013-02-06,11.0,20.9,15.95,64,15.5,0.0,18
2013-02-07,7.7,20.4,14.049999999999999,59,11.2,0.0,0
2013-02-08,6.7,21.1,13.9,62,11.3,0.0,0
2013-02-09,5.8,21.1,13.450000000000001,58,8.6,0.0,1
2013-02-10,7.2,22.9,15.049999999999999,51,11.6,0.0,5
2013-02-11,8.2,24.6,16.4,54,10.1,0.0,5
2013-02-12,10.3,25.3,17.8,56,11.3,0.0,25
2013-02-13,10.3,26.5,18.4,43,12.7,0.0,17
2013-02-14,11.7,26.8,19.25,43,17.1,0.1,13
2013-02-15,13.9,26.7,20.3,60,18.8,1.2,28
2013-02-16,12.6,18.6,15.600000000000001,81,18.6,8.0,59
2013-02-17,11.3,19.1,15.200000000000001,69,17.5,0.0,66
2013-02-18,7.2,22.3,14.75,66,11.2,0.0,9
2013-02-19,10.3,22.0,16.15,63,8.7,0.0,58
2013-02-20,10.7,24.0,17.35,61,9.7,0.0,5
2013-02-21,12.0,26.8,19.4,62,16.1,1.5,21
2013-02-22,14.2,28.8,21.5,58,20.2,2.2,51
2013-02-23,15.0,24.9,19.95,65,15.8,1.8,41
2013-02-24,11.3,23.2,17.25,70,10.5,0.0,19
2013-02-25,10.2,24.4,17.299999999999997,62,9.0,0.0,0
2013-02-26,12.1,27.0,19.55,59,18.6,0.0,6
2013-02-27,14.1,26.9,20.5,49,14.8,0.0,1
2013-02-28,12.0,26.8,19.4,39,12.2,0.0,0
2013-03-01,11.0,26.6,18.8,37,17.3,0.0,35
2013-03-02,10.6,29.8,20.2,34,12.6,0.0,1
2013-03-03,11.2,30.5,20.85,32,11.5,0.0,0
2013-03-04,11.5,31.1,21.3,33,12.3,0.0,17
2013-03-05,13.0,31.6,22.3,39,11.7,0.0,0
2013-03-06,13.9,31.8,22.85,40,11.3,0.0,0
2013-03-07,14.0,32.0,23.0,39,9.9,0.0,0
2013-03-08,14.2,32.7,23.450000000000003,31,11.9,0.0,0
2013-03-09,14.7,34.4,24.549999999999997,25,18.9,0.0,0
2013-03-10,19.5,32.9,26.2,16,20.5,0.0,1
2013-03-11,15.7,31.9,23.799999999999997,26,10.8,0.0,28
2013-03-12,18.0,32.6,25.3,39,14.5,0.0,46
2013-03-13,18.4,33.6,26.0,40,16.2,0.0,20
2013-03-14,16.5,30.6,23.55,41,21.1,0.0,4
2013-03-15,16.4,31.0,23.7,40,14.6,0.0,3
2013-03-16,16.8,30.7,23.75,37,13.7,0.1,28
2013-03-17,15.5,31.4,23.45,39,14.1,0.0,2
2013-03-18,15.1,32.5,23.8,37,17.3,0.0,1
2013-03-19,16.0,34.1,25.05,32,15.5,0.0,2
2013-03-20,18.6,34.2,26.400000000000002,35,15.0,0.0,48
2013-03-21,17.3,34.3,25.799999999999997,31,10.7,0.0,2
2013-03-22,17.5,33.7,25.6,33,14.3,0.0,73
2013-03-23,19.5,33.9,26.7,29,13.9,0.0,19
2013-03-24,19.7,32.6,26.15,31,18.4,0.0,5
2013-03-25,18.4,32.0,25.2,31,16.2,0.0,20
2013-03-26,17.5,31.3,24.4,31,12.8,0.0,87
2013-03-27,17.6,31.1,24.35,31,11.1,0.0,81
2013-03-28,17.5,33.1,25.3,37,15.6,0.2,20
2013-03-29,17.0,30.0,23.5,44,16.1,0.3,20
2013-03-30,15.9,30.1,23.0,50,15.9,0.0,7
2013-03-31,16.4,32.5,24.45,39,11.3,0.0,9
2013-04-01,18.5,34.2,26.35,34,15.6,0.0,6
2013-04-02,19.7,34.7,27.200000000000003,42,25.6,4.4,27
2013-04-03,17.6,32.1,24.85,46,17.4,0.0,23
2013-04-04,17.9,32.6,25.25,36,18.4,0.0,2
2013-04-05,17.2,33.7,25.450000000000003,28,19.9,0.0,0
2013-04-06,16.0,35.3,25.65,26,15.5,0.0,0
2013-04-07,19.6,36.6,28.1,23,13.1,0.0,0
2013-04-08,19.0,35.9,27.45,25,10.3,0.0,44
2013-04-09,21.6,35.7,28.650000000000002,24,13.8,0.0,46
2013-04-10,20.6,35.1,27.85,27,14.8,0.0,20
2013-04-11,21.3,35.3,28.299999999999997,26,15.1,0.0,12
2013-04-12,21.8,35.7,28.75,25,12.1,0.0,38
2013-04-13,22.3,36.5,29.4,25,17.2,0.0,31
2013-04-14,22.6,36.2,29.400000000000002,23,17.2,0.0,27
2013-04-15,20.0,36.9,28.45,27,16.3,0.0,0
2013-04-16,21.9,38.9,30.4,22,28.1,0.0,13
2013-04-17,20.5,37.1,28.8,19,10.2,0.0,0
2013-04-18,20.3,36.9,28.6,23,16.4,0.0,70
2013-04-19,20.9,36.5,28.7,26,11.6,0.0,18
2013-04-20,20.0,36.2,28.1,23,18.9,0.0,39
2013-04-21,20.3,34.6,27.450000000000003,28,19.6,0.0,46
2013-04-22,21.4,32.5,26.95,43,14.6,0.2,16
