date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,5.4,17.5,11.45,67,19.2,0.0,0
2013-01-09,5.5,19.0,12.25,63,15.7,0.0,0
2013-01-10,8.6,20.2,14.399999999999999,66,16.9,0.0,0
2013-01-11,7.3,19.5,13.4,66,15.0,0.0,0
2013-01-12,6.3,21.0,13.65,70,7.0,0.0,0
2013-01-13,9.2,23.8,16.5,71,8.0,0.0,2
2013-01-14,10.7,23.7,17.2,78,9.5,0.0,13
2013-01-15,11.6,23.6,17.6,72,10.2,0.0,17
2013-01-16,12.1,25.5,18.8,73,8.8,0.0,90
2013-01-17,13.2,25.9,19.549999999999997,73,15.7,0.4,69
2013-01-18,16.2,24.6,20.4,78,18.7,24.6,30
2013-01-19,10.9,19.8,15.350000000000001,76,13.9,0.0,17
2013-01-20,9.1,19.2,14.149999999999999,72,13.9,0.0,5
2013-01-21,7.6,18.7,13.149999999999999,76,10.1,0.0,1
2013-01-22,6.2,18.3,12.25,77,8.7,0.0,2
2013-01-23,6.0,18.3,12.15,76,9.8,0.0,6
2013-01-24,7.1,19.7,13.399999999999999,77,10.7,0.0,4
2013-01-25,7.8,20.3,14.05,73,14.3,0.0,0
2013-01-26,7.4,20.4,13.899999999999999,70,14.6,0.0,0
2013-01-27,7.8,20.5,14.15,69,14.0,0.0,3
2013-01-28,6.4,19.7,13.05,73,10.2,0.0,65
2013-01-29,7.5,21.8,14.65,76,10.6,0.0,1
2013-01-30,8.5,22.3,15.4,77,8.7,0.0,43
2013-01-31,9.4,22.8,16.1,74,9.0,0.0,54
2013-02-01,10.1,22.9,16.5,72,10.0,0.0,33
2013-02-02,11.3,22.7,17.0,74,9.0,0.0,63
2013-02-03,10.3,23.8,17.05,75,8.3,0.0,12
2013-02-04,14.3,24.0,19.15,71,18.2,1.8,98
2013-02-05,15.3,20.9,18.1,78,26.9,16.5,65
2013-02-06,14.6,22.5,18.55,84,13.0,17.2,72
2013-02-07,11.7,20.4,16.049999999999997,79,13.6,0.0,27
2013-02-08,9.1,20.3,14.7,75,14.1,0.0,0
2013-02-09,9.5,21.8,15.65,78,10.3,0.0,2
2013-02-10,8.6,21.9,15.25,77,9.7,0.0,3
2013-02-11,9.0,22.5,15.75,74,9.9,0.0,18
2013-02-12,11.0,23.2,17.1,76,8.8,0.0,88
2013-02-13,10.6,23.8,17.2,73,12.8,0.0,10
2013-02-14,10.4,24.9,17.65,72,10.8,0.0,11
2013-02-15,12.0,19.6,15.8,79,15.6,5.0,82
2013-02-16,14.0,17.5,15.75,91,26.5,29.8,88
2013-02-17,13.1,20.9,17.0,83,14.9,2.9,60
2013-02-18,11.1,21.4,16.25,78,13.4,0.0,29
2013-02-19,11.4,22.1,16.75,76,9.2,0.0,40
2013-02-20,11.3,22.3,16.8,78,12.8,0.0,8
2013-02-21,11.5,23.8,17.65,73,10.1,0.0,0
2013-02-22,11.5,25.1,18.3,71,6.7,0.0,10
2013-02-23,12.9,22.7,17.8,79,17.4,0.8,88
2013-02-24,13.8,22.1,17.950000000000003,83,10.3,6.5,46
2013-02-25,11.8,24.6,18.200000000000003,78,10.5,0.0,1
2013-02-26,12.8,25.0,18.9,75,8.7,0.0,0
2013-02-27,12.5,27.0,19.75,73,9.1,0.0,20
2013-02-28,16.1,26.6,21.35,61,26.1,0.0,0
2013-03-01,13.1,24.1,18.6,62,20.7,0.0,2
2013-03-02,11.8,24.2,18.0,69,13.0,0.0,0
2013-03-03,12.5,26.1,19.3,73,13.0,0.0,0
2013-03-04,13.3,27.0,20.15,72,10.2,0.0,0
2013-03-05,13.1,27.9,20.5,71,9.4,0.0,0
2013-03-06,14.4,29.0,21.7,67,10.5,0.0,0
2013-03-07,14.8,29.0,21.9,67,10.3,0.0,0
2013-03-08,13.8,29.1,21.450000000000003,66,12.2,0.0,0
2013-03-09,14.7,30.1,22.4,60,16.3,0.0,0
2013-03-10,14.2,32.3,23.25,55,10.4,0.0,3
2013-03-11,17.4,31.7,24.549999999999997,56,10.7,0.0,17
2013-03-12,16.9,31.3,24.1,59,16.2,0.0,28
2013-03-13,15.5,31.5,23.5,57,9.5,0.0,1
2013-03-14,18.0,32.4,25.2,52,16.9,0.0,16
2013-03-15,17.4,31.8,24.6,54,13.7,0.0,43
2013-03-16,16.2,30.8,23.5,46,15.3,0.0,35
2013-03-17,17.7,30.5,24.1,43,20.3,0.0,24
2013-03-18,16.7,30.6,23.65,44,28.0,0.0,0
2013-03-19,19.0,31.4,25.2,53,18.8,0.0,10
2013-03-20,17.9,32.5,25.2,57,13.2,0.0,39
2013-03-21,19.0,34.0,26.5,49,20.2,0.2,16
2013-03-22,18.8,33.0,25.9,42,21.1,0.0,53
2013-03-23,17.8,34.0,25.9,43,10.9,0.0,26
2013-03-24,20.7,34.0,27.35,49,10.8,0.0,50
2013-03-25,20.7,33.5,27.1,45,22.8,0.0,4
2013-03-26,17.9,30.8,24.35,42,19.7,0.0,57
2013-03-27,18.2,32.0,25.1,43,16.9,0.0,92
2013-03-28,20.8,32.4,26.6,50,15.8,0.6,77
2013-03-29,18.4,32.5,25.45,62,18.1,0.3,14
2013-03-30,18.0,31.1,24.55,57,18.1,0.0,6
2013-03-31,18.7,31.4,25.049999999999997,52,17.6,0.0,4
2013-04-01,18.9,33.5,26.2,48,14.3,0.0,0
2013-04-02,18.1,35.3,26.7,45,12.2,0.0,26
2013-04-03,21.2,34.6,27.9,42,11.7,1.9,28
2013-04-04,20.5,33.9,27.2,33,27.2,0.0,1
2013-04-05,21.0,33.1,27.05,27,29.7,0.0,0
2013-04-06,20.5,34.1,27.3,27,26.6,0.0,0
2013-04-07,21.1,37.1,29.1,27,25.0,0.0,0
2013-04-08,21.9,38.2,30.05,29,23.0,0.0,41
2013-04-09,24.8,38.7,31.75,28,18.9,0.0,54
2013-04-10,25.1,38.4,31.75,27,19.0,0.0,34
2013-04-11,22.4,37.5,29.95,31,14.2,0.0,21
2013-04-12,21.9,38.0,29.95,30,11.5,0.0,8
2013-04-13,24.2,38.4,31.299999999999997,27,21.6,0.0,27
2013-04-14,23.5,37.5,30.5,26,21.5,0.1,15
2013-04-15,20.9,36.6,28.75,34,19.6,0.0,7
2013-04-16,22.0,37.8,29.9,31,18.5,0.0,25
2013-04-17,22.2,39.0,30.6,29,16.4,0.0,10
2013-04-18,20.8,37.8,29.299999999999997,31,13.0,0.0,20
2013-04-19,22.4,34.8,28.599999999999998,34,10.5,1.7,78
2013-04-20,20.3,33.4,26.85,41,14.0,0.0,81
2013-04-21,20.6,29.2,24.9,66,19.0,2.9,69
2013-04-22,18.6,30.5,24.55,63,14.2,0.0,34
2013-04-23,19.4,32.8,26.099999999999998,55,8.3,0.0,7
2013-04-24,22.0,34.5,28.25,49,11.4,0.0,12
2013-04-25,23.2,38.0,30.6,42,13.0,0.0,13
2013-04-26,23.7,37.8,30.75,48,10.3,0.4,31
2013-04-27,23.6,38.9,31.25,35,22.8,0.0,13
2013-04-28,25.1,39.4,32.25,27,24.6,0.0,12
2013-04-29,24.4,40.2,32.3,28,21.1,0.0,0
2013-04-30,25.8,41.1,33.45,28,14.1,0.0,11
2013-05-01,27.3,40.8,34.05,22,21.8,0.0,26
2013-05-02,25.6,39.6,32.6,14,21.3,0.0,24
2013-05-03,23.6,39.0,31.3,18,24.4,0.0,26
2013-05-04,22.1,40.1,31.1,22,10.8,0.0,0
2013-05-05,24.4,40.6,32.5,25,13.8,0.0,9
2013-05-06,26.5,38.7,32.6,42,18.5,0.0,13
2013-05-07,26.2,39.1,32.65,45,16.4,0.0,2
2013-05-08,24.9,41.6,33.25,28,23.2,0.0,0
2013-05-09,26.6,42.0,34.3,23,18.7,0.0,0
2013-05-10,27.0,41.4,34.2,26,16.2,0.0,50
2013-05-11,27.0,41.2,34.1,27,16.2,0.0,42
2013-05-12,23.9,39.2,31.55,34,19.5,0.0,15
2013-05-13,25.3,37.4,31.35,38,12.6,0.0,27
