date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,12.0,24.9,18.45,35,10.3,0.0,1
2013-01-09,11.2,25.7,18.45,37,9.7,0.0,0
2013-01-10,10.3,26.2,18.25,46,8.7,0.0,0
2013-01-11,11.6,26.9,19.25,50,8.7,0.0,0
2013-01-12,11.0,27.6,19.3,53,8.7,0.0,0
2013-01-13,12.7,30.0,21.35,53,8.4,0.0,0
2013-01-14,13.7,30.2,21.95,52,9.5,0.0,0
2013-01-15,14.2,30.7,22.45,55,9.8,0.0,7
2013-01-16,15.5,30.3,22.9,55,10.6,0.0,93
2013-01-17,15.8,30.3,23.05,56,14.2,0.0,37
2013-01-18,18.3,29.4,23.85,53,14.8,0.0,1
2013-01-19,17.5,27.2,22.35,50,12.1,0.0,5
2013-01-20,15.0,25.7,20.35,49,13.1,0.0,2
2013-01-21,14.2,25.7,19.95,43,11.6,0.0,2
2013-01-22,14.1,26.7,20.4,42,10.6,0.0,1
2013-01-23,15.8,26.0,20.9,46,11.3,0.0,26
2013-01-24,16.5,24.0,20.25,60,13.7,0.5,40
2013-01-25,15.2,25.1,20.15,64,7.5,0.0,36
2013-01-26,15.0,26.1,20.55,56,9.0,0.0,19
2013-01-27,15.7,26.9,21.299999999999997,50,9.2,0.0,71
2013-01-28,15.9,27.2,21.55,41,9.4,0.0,37
2013-01-29,15.0,27.5,21.25,38,10.0,0.0,14
2013-01-30,14.3,27.5,20.9,37,12.8,0.0,22
2013-01-31,14.0,27.9,20.95,39,9.1,0.0,67
2013-02-01,15.0,28.9,21.95,44,8.4,0.0,9
2013-02-02,15.4,29.6,22.5,51,9.0,0.0,48
2013-02-03,16.9,29.6,23.25,55,9.0,0.0,38
2013-02-04,17.7,30.5,24.1,56,11.7,0.0,2
2013-02-05,19.6,30.5,25.05,52,13.0,0.0,3
2013-02-06,17.8,29.6,23.700000000000003,58,10.9,0.0,19
2013-02-07,19.7,28.7,24.2,66,13.5,2.1,43
2013-02-08,18.1,26.7,22.4,63,13.4,3.4,34
2013-02-09,17.2,27.8,22.5,54,10.9,0.0,13
2013-02-10,18.6,29.7,24.15,56,10.8,0.0,14
2013-02-11,17.9,30.9,24.4,57,8.3,0.0,36
2013-02-12,17.7,32.0,24.85,50,9.7,0.0,32
2013-02-13,19.1,31.3,25.200000000000003,49,10.6,0.0,9
2013-02-14,19.1,31.4,25.25,49,11.8,0.0,28
2013-02-15,20.5,30.3,25.4,57,12.4,1.1,49
2013-02-16,18.7,26.4,22.549999999999997,82,21.7,13.2,47
2013-02-17,15.9,25.9,20.9,56,11.5,1.1,6
2013-02-18,13.9,25.1,19.5,56,11.6,0.0,0
2013-02-19,14.2,26.7,20.45,57,9.5,0.0,0
2013-02-20,15.0,28.7,21.85,55,10.8,0.0,0
2013-02-21,16.5,28.6,22.55,52,10.3,0.0,0
2013-02-22,16.0,30.9,23.45,56,9.8,0.0,12
2013-02-23,17.9,32.6,25.25,55,16.6,2.5,21
2013-02-24,17.8,31.0,24.4,65,13.3,0.0,7
2013-02-25,17.5,30.3,23.9,58,12.3,0.0,0
2013-02-26,17.3,31.8,24.55,46,10.7,0.0,0
2013-02-27,17.6,33.1,25.35,40,10.1,0.0,9
2013-02-28,17.9,34.0,25.95,42,10.6,0.0,38
2013-03-01,19.4,32.7,26.05,36,13.5,0.0,0
2013-03-02,16.2,32.4,24.299999999999997,29,10.9,0.0,0
2013-03-03,16.7,33.5,25.1,26,11.2,0.0,0
2013-03-04,16.6,33.5,25.05,28,11.0,0.0,0
2013-03-05,16.8,33.6,25.200000000000003,28,10.7,0.0,0
2013-03-06,18.2,33.6,25.9,26,11.0,0.0,0
2013-03-07,19.0,33.8,26.4,24,10.1,0.0,0
2013-03-08,19.0,34.6,26.8,25,10.3,0.0,0
2013-03-09,18.9,35.4,27.15,26,9.0,0.0,0
2013-03-10,18.0,35.9,26.95,32,10.6,0.0,8
2013-03-11,20.6,36.9,28.75,35,8.9,0.0,14
2013-03-12,23.5,36.4,29.95,36,9.7,0.0,41
2013-03-13,24.3,36.1,30.200000000000003,35,11.0,0.0,77
2013-03-14,23.8,36.3,30.049999999999997,39,13.6,0.3,32
2013-03-15,21.5,33.4,27.45,54,13.7,5.7,42
2013-03-16,20.2,31.0,25.6,61,11.0,2.8,53
2013-03-17,21.1,31.3,26.200000000000003,55,17.0,0.1,13
2013-03-18,20.5,33.4,26.95,45,9.7,0.0,6
2013-03-19,19.4,34.0,26.7,39,9.7,0.0,5
2013-03-20,21.1,33.8,27.45,45,11.0,0.4,32
2013-03-21,21.3,35.9,28.6,44,7.9,0.0,17
2013-03-22,20.8,36.7,28.75,35,8.3,0.0,83
2013-03-23,23.1,36.1,29.6,37,11.4,0.3,54
