date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,6.9,17.4,12.149999999999999,66,16.0,0.0,0
2013-01-09,5.9,18.4,12.149999999999999,74,13.0,0.0,5
2013-01-10,7.6,19.7,13.649999999999999,73,11.4,0.0,0
2013-01-11,7.8,20.5,14.15,74,9.7,0.0,6
2013-01-12,7.9,20.2,14.05,76,8.9,0.0,20
2013-01-13,9.1,21.8,15.45,75,9.2,0.0,0
2013-01-14,11.2,23.4,17.299999999999997,73,9.5,0.0,2
2013-01-15,11.1,23.5,17.3,72,7.5,0.0,6
2013-01-16,11.7,24.6,18.15,70,8.2,0.0,67
2013-01-17,12.2,25.0,18.6,73,10.5,0.0,92
2013-01-18,14.8,26.5,20.65,74,17.3,1.3,23
2013-01-19,16.4,23.5,19.95,80,20.1,1.8,29
2013-01-20,12.4,20.8,16.6,70,16.3,0.0,1
2013-01-21,9.8,20.6,15.200000000000001,68,10.8,0.0,0
2013-01-22,7.8,20.2,14.0,73,10.1,0.0,1
2013-01-23,8.2,20.4,14.299999999999999,72,9.5,0.0,0
2013-01-24,8.4,20.3,14.350000000000001,71,11.5,0.0,0
2013-01-25,8.9,21.4,15.149999999999999,74,13.5,0.0,0
2013-01-26,9.4,21.4,15.399999999999999,70,13.2,0.0,1
2013-01-27,8.8,21.4,15.1,69,12.0,0.0,48
2013-01-28,8.4,21.8,15.100000000000001,70,10.5,0.0,19
2013-01-29,9.8,22.0,15.9,70,10.7,0.0,27
2013-01-30,8.7,22.9,15.799999999999999,72,10.3,0.0,11
2013-01-31,11.9,24.3,18.1,71,8.6,0.0,49
2013-02-01,13.8,24.5,19.15,68,7.7,0.0,57
2013-02-02,14.4,24.2,19.3,69,9.2,0.0,78
2013-02-03,12.1,24.5,18.3,71,9.8,0.0,1
2013-02-04,13.1,25.5,19.3,70,9.3,0.0,71
2013-02-05,14.2,27.0,20.6,66,12.9,0.0,13
2013-02-06,15.4,27.9,21.65,67,11.9,0.0,12
2013-02-07,17.5,25.5,21.5,74,16.7,0.3,51
2013-02-08,12.1,23.2,17.65,64,16.4,0.0,3
2013-02-09,10.5,23.1,16.8,65,14.1,0.0,0
2013-02-10,9.4,24.0,16.7,67,11.4,0.0,0
2013-02-11,10.4,25.0,17.7,65,11.6,0.0,40
2013-02-12,10.9,25.5,18.2,66,13.0,0.0,76
2013-02-13,13.4,27.5,20.45,64,17.7,0.0,5
2013-02-14,12.6,28.0,20.3,55,15.0,0.0,16
2013-02-15,14.6,22.5,18.55,67,10.1,1.1,94
2013-02-16,15.6,22.0,18.8,82,18.9,13.3,95
2013-02-17,14.6,23.4,19.0,82,18.0,1.6,48
2013-02-18,14.0,22.3,18.15,78,15.3,0.0,59
2013-02-19,12.4,23.5,17.95,71,10.2,0.0,10
2013-02-20,12.1,24.3,18.2,70,10.8,0.0,17
2013-02-21,12.9,25.1,19.0,69,10.6,0.0,0
2013-02-22,13.0,27.0,20.0,70,10.4,0.0,0
2013-02-23,14.8,28.4,21.6,64,13.3,0.0,22
2013-02-24,18.0,27.2,22.6,63,15.8,0.2,46
2013-02-25,15.6,27.6,21.6,66,14.8,0.0,1
2013-02-26,15.1,28.8,21.95,62,11.6,0.0,0
2013-02-27,14.0,29.7,21.85,59,10.5,0.0,0
2013-02-28,19.0,31.6,25.3,43,28.9,0.0,0
2013-03-01,16.4,28.3,22.35,44,19.1,0.0,0
2013-03-02,14.4,27.5,20.95,53,11.3,0.0,0
2013-03-03,14.6,28.9,21.75,58,11.8,0.0,0
2013-03-04,15.9,30.0,22.95,57,9.2,0.0,0
2013-03-05,15.8,31.0,23.4,58,8.8,0.0,0
2013-03-06,16.5,31.2,23.85,50,10.5,0.0,0
2013-03-07,15.6,30.9,23.25,51,9.1,0.0,1
2013-03-08,16.5,31.5,24.0,54,9.4,0.0,0
2013-03-09,17.6,31.4,24.5,45,14.1,0.0,0
2013-03-10,16.1,32.0,24.05,46,9.7,0.0,0
2013-03-11,17.0,33.4,25.2,49,9.7,0.0,6
2013-03-12,17.0,32.8,24.9,51,12.3,0.0,18
2013-03-13,18.6,32.8,25.7,52,10.6,0.0,18
2013-03-14,19.2,33.4,26.299999999999997,53,9.0,0.0,37
2013-03-15,21.0,34.3,27.65,47,16.7,0.0,34
2013-03-16,20.5,33.8,27.15,45,15.0,0.0,53
2013-03-17,19.8,30.4,25.1,43,18.3,0.0,41
2013-03-18,19.1,31.8,25.450000000000003,40,26.7,0.0,0
2013-03-19,19.1,32.0,25.55,43,17.0,0.0,0
2013-03-20,18.5,33.5,26.0,52,14.6,0.0,24
2013-03-21,20.3,34.0,27.15,49,17.3,0.0,13
2013-03-22,19.3,34.2,26.75,41,20.9,0.0,24
2013-03-23,18.9,32.9,25.9,56,14.8,0.0,34
2013-03-24,20.0,34.3,27.15,56,13.0,0.0,19
2013-03-25,21.8,36.2,29.0,42,30.1,0.0,6
2013-03-26,21.5,34.2,27.85,33,22.5,0.0,51
2013-03-27,21.0,34.0,27.5,35,15.4,0.0,83
2013-03-28,21.4,34.3,27.849999999999998,39,19.9,0.0,81
2013-03-29,22.4,34.3,28.349999999999998,48,20.2,0.4,50
2013-03-30,22.2,34.9,28.549999999999997,43,21.9,0.0,7
2013-03-31,21.5,34.2,27.85,39,18.2,0.0,1
2013-04-01,21.3,35.0,28.15,40,12.4,0.0,0
2013-04-02,20.9,36.8,28.849999999999998,38,11.9,0.0,22
2013-04-03,23.9,37.0,30.45,36,17.3,0.0,22
2013-04-04,23.7,36.9,30.299999999999997,31,30.3,0.0,0
2013-04-05,23.6,36.0,29.8,23,31.1,0.0,0
2013-04-06,22.4,36.1,29.25,22,27.3,0.0,0
2013-04-07,21.5,37.5,29.5,25,18.4,0.0,0
2013-04-08,23.4,39.2,31.3,27,23.5,0.0,2
2013-04-09,22.5,39.7,31.1,29,20.5,0.0,6
2013-04-10,22.2,40.8,31.5,30,19.7,0.0,1
2013-04-11,26.4,40.0,33.2,24,26.1,0.0,20
2013-04-12,23.9,39.9,31.9,30,10.5,0.0,12
2013-04-13,24.5,40.3,32.4,25,16.3,0.0,36
2013-04-14,26.3,39.0,32.65,25,17.3,0.0,62
2013-04-15,24.7,37.7,31.200000000000003,30,14.9,0.0,31
2013-04-16,22.8,37.6,30.200000000000003,36,18.4,0.0,11
2013-04-17,23.7,35.0,29.35,56,23.9,0.0,25
2013-04-18,22.6,37.0,29.8,51,17.7,0.0,5
2013-04-19,23.6,36.3,29.95,50,16.6,1.9,60
2013-04-20,23.5,31.8,27.65,65,17.0,1.8,85
2013-04-21,20.6,24.8,22.700000000000003,86,16.8,37.8,95
2013-04-22,19.4,27.9,23.65,82,11.4,12.1,38
2013-04-23,20.6,29.9,25.25,76,12.4,0.5,17
2013-04-24,21.8,31.9,26.85,67,9.7,0.0,9
2013-04-25,23.1,33.8,28.45,65,11.7,0.0,14
2013-04-26,24.5,35.0,29.75,65,14.3,0.0,19
2013-04-27,24.6,37.7,31.150000000000002,60,15.7,0.0,7
2013-04-28,22.0,37.3,29.65,53,13.4,0.0,3
2013-04-29,23.9,37.2,30.55,64,14.8,0.0,3
2013-04-30,25.0,39.7,32.35,58,12.5,0.0,0
2013-05-01,25.0,40.9,32.95,46,21.4,0.0,14
2013-05-02,27.0,40.9,33.95,21,22.7,0.0,1
2013-05-03,25.2,39.8,32.5,20,22.3,0.0,34
2013-05-04,21.5,40.0,30.75,27,17.3,0.0,6
2013-05-05,24.9,35.7,30.3,61,26.6,0.0,9
2013-05-06,23.8,35.0,29.4,62,27.1,0.0,19
2013-05-07,24.0,35.3,29.65,61,25.2,0.0,35
2013-05-08,25.2,38.4,31.799999999999997,58,18.8,0.0,9
2013-05-09,25.6,39.5,32.55,56,21.8,0.0,4
2013-05-10,26.0,37.5,31.75,60,22.9,0.0,23
2013-05-11,27.1,38.8,32.95,58,18.4,0.0,36
2013-05-12,26.6,39.0,32.8,61,19.1,2.3,13
2013-05-13,27.0,36.8,31.9,55,14.9,0.7,12
2013-05-14,26.0,37.9,31.95,51,12.8,0.0,6
2013-05-15,26.1,39.2,32.650000000000006,47,18.8,0.0,6
2013-05-16,27.0,38.2,32.6,53,17.7,0.0,10
2013-05-17,27.0,39.0,33.0,51,23.9,0.0,14
2013-05-18,25.4,39.2,32.3,54,22.7,0.0,2
2013-05-19,27.4,36.7,32.05,62,25.7,0.0,26
2013-05-20,26.6,34.7,30.650000000000002,66,26.9,0.0,25
2013-05-21,27.3,36.8,32.05,61,20.4,0.0,22
2013-05-22,28.6,37.1,32.85,60,19.4,0.0,26
2013-05-23,28.0,37.2,32.6,62,24.1,1.1,32
2013-05-24,25.4,36.7,31.05,64,19.9,1.9,33
2013-05-25,27.4,36.5,31.95,61,20.9,0.0,28
2013-05-26,28.5,37.2,32.85,61,17.1,0.6,44
2013-05-27,26.1,34.2,30.150000000000002,74,17.4,4.0,98
2013-05-28,27.0,36.2,31.6,69,18.4,0.2,48
2013-05-29,27.2,35.4,31.299999999999997,65,18.4,0.4,32
2013-05-30,25.1,30.4,27.75,79,25.1,23.8,87
2013-05-31,24.1,25.5,24.8,91,21.0,83.5,99
2013-06-01,23.5,31.2,27.35,84,25.0,0.1,71
2013-06-02,25.4,33.5,29.45,79,19.1,0.0,42
2013-06-03,27.1,35.7,31.400000000000002,72,15.2,0.0,16
2013-06-04,28.1,35.5,31.8,74,16.7,1.5,78
2013-06-05,26.8,33.8,30.299999999999997,78,18.6,2.0,90
2013-06-06,25.5,33.5,29.5,82,17.3,13.1,93
2013-06-07,25.8,33.0,29.4,83,17.5,8.3,73
2013-06-08,25.7,33.3,29.5,81,15.2,3.5,79
2013-06-09,27.2,33.8,30.5,78,13.1,0.6,82
2013-06-10,26.9,34.6,30.75,76,17.2,0.4,92
2013-06-11,27.9,34.1,31.0,73,17.0,0.0,74
2013-06-12,28.0,35.9,31.95,67,21.3,0.0,19
2013-06-13,27.4,33.8,30.599999999999998,68,27.2,0.0,88
2013-06-14,27.1,31.2,29.15,74,30.0,2.7,94
2013-06-15,25.6,32.1,28.85,82,28.1,9.2,86
2013-06-16,26.2,32.2,29.200000000000003,80,22.7,1.2,76
2013-06-17,27.4,32.7,30.05,78,14.4,7.0,66
2013-06-18,26.8,33.4,30.1,80,11.1,8.7,94
2013-06-19,26.3,32.0,29.15,84,8.2,16.3,99
2013-06-20,27.0,32.8,29.9,78,8.7,1.0,77
2013-06-21,27.3,33.2,30.25,74,9.5,0.3,97
2013-06-22,28.1,34.8,31.45,77,14.7,0.2,90
2013-06-23,27.6,33.5,30.55,79,12.3,4.5,94
2013-06-24,27.9,34.2,31.05,74,21.0,4.8,84
2013-06-25,26.8,33.0,29.9,79,24.2,8.3,98
2013-06-26,26.5,32.2,29.35,84,18.6,4.8,98
2013-06-27,26.2,32.3,29.25,82,15.9,6.9,100
2013-06-28,26.5,29.5,28.0,86,11.9,6.2,100
2013-06-29,25.9,28.8,27.35,89,14.5,4.4,100
2013-06-30,25.6,29.1,27.35,87,11.7,3.1,93
2013-07-01,26.1,31.4,28.75,83,18.1,5.4,93
2013-07-02,26.3,33.0,29.65,77,20.8,0.4,79
2013-07-03,26.8,32.7,29.75,77,22.4,2.7,91
2013-07-04,27.1,33.7,30.400000000000002,77,14.1,6.0,97
2013-07-05,27.2,32.7,29.950000000000003,83,11.5,9.3,100
2013-07-06,26.9,31.9,29.4,86,8.7,7.8,100
2013-07-07,26.8,32.7,29.75,86,7.9,10.9,95
2013-07-08,26.5,30.1,28.3,92,9.7,21.9,100
2013-07-09,26.0,32.1,29.05,89,10.7,25.9,92
2013-07-10,25.6,30.2,27.9,89,9.1,24.6,99
2013-07-11,25.5,32.0,28.75,84,18.4,11.9,84
2013-07-12,26.8,31.9,29.35,79,24.7,2.0,87
2013-07-13,26.5,32.3,29.4,81,18.2,3.2,78
2013-07-14,26.7,31.9,29.299999999999997,82,16.6,3.9,76
2013-07-15,27.0,33.0,30.0,79,18.1,0.1,46
2013-07-16,27.6,33.4,30.5,75,17.4,0.6,69
2013-07-17,27.6,32.3,29.95,74,17.7,0.4,99
2013-07-18,27.1,31.8,29.450000000000003,84,14.5,8.7,89
2013-07-19,26.4,32.2,29.3,85,18.1,7.3,93
2013-07-20,26.6,32.3,29.45,80,18.9,0.5,97
2013-07-21,27.0,31.6,29.3,82,14.1,3.4,99
2013-07-22,27.1,32.6,29.85,76,22.9,0.2,94
2013-07-23,27.5,32.9,30.2,73,25.0,0.2,95
2013-07-24,27.4,32.7,30.05,76,21.9,1.2,76
2013-07-25,26.8,32.5,29.65,79,16.8,0.7,89
2013-07-26,27.3,31.4,29.35,79,23.1,4.9,99
2013-07-27,26.3,29.4,27.85,82,32.4,2.0,98
2013-07-28,26.2,29.0,27.6,85,15.0,0.1,100
2013-07-29,26.1,31.9,29.0,82,11.2,2.3,67
2013-07-30,27.1,32.5,29.8,76,23.2,0.0,67
2013-07-31,27.0,32.2,29.6,76,25.2,2.1,86
2013-08-01,26.4,31.9,29.15,78,24.4,0.6,72
2013-08-02,25.5,32.5,29.0,81,20.8,3.0,95
2013-08-03,27.0,33.3,30.15,74,13.1,0.2,79
2013-08-04,26.6,33.3,29.95,85,5.8,22.9,87
2013-08-05,26.2,32.1,29.15,85,16.6,20.8,100
2013-08-06,26.8,32.0,29.4,81,18.8,9.1,94
2013-08-07,25.6,31.0,28.3,84,16.2,8.2,72
