date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,14.4,29.7,22.05,53,11.6,0.0,2
2013-01-09,15.6,30.2,22.9,58,9.7,0.0,7
2013-01-10,17.0,30.2,23.6,53,9.0,0.0,10
2013-01-11,15.6,30.4,23.0,46,14.0,0.0,0
2013-01-12,15.3,30.7,23.0,36,10.9,0.0,0
2013-01-13,17.2,31.6,24.4,31,9.4,0.0,0
2013-01-14,18.6,32.3,25.45,31,8.7,0.0,0
2013-01-15,18.5,32.2,25.35,38,8.7,0.0,10
2013-01-16,19.7,32.2,25.950000000000003,39,11.9,0.0,78
2013-01-17,18.4,31.1,24.75,48,14.7,0.0,0
2013-01-18,15.6,28.5,22.05,65,14.1,0.0,23
2013-01-19,13.3,28.6,20.950000000000003,51,13.3,0.0,0
2013-01-20,14.9,29.2,22.05,48,12.4,0.0,0
2013-01-21,14.9,30.1,22.5,50,9.4,0.0,0
2013-01-22,14.7,30.8,22.75,50,11.8,0.0,1
2013-01-23,17.2,30.8,24.0,50,14.3,0.0,0
2013-01-24,16.8,30.7,23.75,48,15.2,0.0,1
2013-01-25,17.3,30.6,23.950000000000003,42,9.8,0.0,1
2013-01-26,16.7,30.8,23.75,46,12.1,0.0,22
2013-01-27,17.8,29.9,23.85,49,8.5,0.0,53
2013-01-28,17.3,30.7,24.0,49,13.1,0.0,15
2013-01-29,17.7,30.2,23.95,43,12.0,0.0,3
2013-01-30,17.3,31.0,24.15,41,8.8,0.0,22
2013-01-31,16.3,31.6,23.950000000000003,53,12.5,0.0,24
2013-02-01,19.5,31.7,25.6,49,11.9,0.0,45
2013-02-02,18.8,31.6,25.200000000000003,55,9.8,0.0,60
2013-02-03,19.4,32.5,25.95,55,13.7,0.0,58
2013-02-04,19.7,32.4,26.049999999999997,61,16.3,0.0,20
2013-02-05,17.0,30.4,23.7,68,14.8,0.0,30
2013-02-06,16.5,30.1,23.3,59,15.5,0.0,4
2013-02-07,16.4,31.2,23.799999999999997,50,14.4,0.0,18
2013-02-08,16.3,31.6,23.950000000000003,52,10.5,0.0,0
2013-02-09,18.1,32.9,25.5,52,16.8,0.0,1
2013-02-10,20.3,33.5,26.9,49,12.7,0.2,13
2013-02-11,21.5,32.8,27.15,50,12.0,1.1,29
2013-02-12,19.4,32.6,26.0,48,9.3,0.0,25
2013-02-13,20.5,32.3,26.4,41,13.0,0.0,26
2013-02-14,20.5,33.5,27.0,43,12.7,0.0,24
2013-02-15,19.6,32.0,25.8,51,14.8,0.0,21
2013-02-16,17.9,28.0,22.95,66,20.5,0.0,20
2013-02-17,12.9,28.7,20.8,52,8.2,0.0,14
2013-02-18,12.9,30.2,21.55,35,12.7,0.0,0
2013-02-19,14.5,32.8,23.65,34,13.0,0.0,0
2013-02-20,18.0,33.1,25.55,37,11.4,0.0,0
2013-02-21,18.0,34.1,26.05,38,11.5,0.0,0
2013-02-22,20.1,34.4,27.25,41,11.9,0.0,1
2013-02-23,19.2,33.7,26.450000000000003,41,16.0,0.0,4
2013-02-24,15.2,33.0,24.1,40,11.6,0.0,4
2013-02-25,16.3,33.8,25.049999999999997,34,14.7,0.0,1
2013-02-26,19.8,34.1,26.950000000000003,38,16.4,0.0,1
2013-02-27,17.2,33.3,25.25,36,13.9,0.0,34
2013-02-28,17.8,33.9,25.85,36,15.1,0.0,27
2013-03-01,19.7,34.1,26.9,29,18.8,0.0,0
2013-03-02,19.4,34.2,26.8,27,16.9,0.0,0
2013-03-03,17.9,34.9,26.4,21,17.8,0.0,0
2013-03-04,16.6,35.0,25.8,17,15.9,0.0,0
2013-03-05,17.2,35.0,26.1,20,14.2,0.0,0
2013-03-06,19.1,34.8,26.95,25,14.3,0.0,0
2013-03-07,18.8,35.3,27.049999999999997,31,16.2,0.0,12
2013-03-08,20.5,35.7,28.1,34,11.9,0.0,35
2013-03-09,21.4,36.4,28.9,32,13.1,0.0,7
2013-03-10,20.4,36.3,28.349999999999998,30,15.6,0.0,25
2013-03-11,20.4,35.9,28.15,34,13.9,0.0,39
2013-03-12,19.9,34.7,27.3,41,16.7,0.0,61
2013-03-13,18.6,34.4,26.5,45,17.4,0.0,77
2013-03-14,18.6,34.9,26.75,44,14.0,0.0,2
2013-03-15,20.3,34.8,27.549999999999997,45,12.1,0.0,21
2013-03-16,21.1,35.7,28.400000000000002,47,13.2,1.9,25
2013-03-17,21.3,35.1,28.200000000000003,44,13.8,0.0,5
2013-03-18,20.5,35.5,28.0,40,14.5,0.0,17
2013-03-19,21.0,35.3,28.15,27,17.8,0.0,83
2013-03-20,20.7,34.2,27.450000000000003,23,19.7,0.0,4
2013-03-21,18.5,35.4,26.95,33,12.1,0.0,17
2013-03-22,19.8,36.1,27.950000000000003,44,16.9,0.0,74
2013-03-23,20.1,36.1,28.1,56,18.7,0.0,40
