date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,15.9,27.6,21.75,41,20.3,0.0,10
2013-01-09,16.5,28.5,22.5,49,16.9,0.0,0
2013-01-10,16.9,28.4,22.65,48,16.5,0.0,0
2013-01-11,17.4,29.4,23.4,43,15.0,0.0,0
2013-01-12,17.3,30.2,23.75,47,13.8,0.0,0
2013-01-13,17.6,29.8,23.700000000000003,52,12.3,0.0,0
2013-01-14,17.0,29.4,23.2,63,11.6,0.0,0
2013-01-15,16.8,28.6,22.700000000000003,63,11.1,0.0,45
2013-01-16,17.7,28.9,23.299999999999997,55,15.9,0.0,94
2013-01-17,17.0,27.6,22.3,66,23.5,0.0,24
2013-01-18,17.5,23.3,20.4,51,21.7,0.0,0
2013-01-19,14.3,26.0,20.15,41,21.3,0.0,0
2013-01-20,15.1,27.1,21.1,40,21.1,0.0,0
2013-01-21,16.1,27.5,21.8,41,21.2,0.0,0
2013-01-22,16.7,28.5,22.6,43,20.6,0.0,0
2013-01-23,18.0,28.2,23.1,48,19.8,0.0,0
2013-01-24,17.8,28.1,22.950000000000003,52,19.9,0.0,4
2013-01-25,18.7,28.3,23.5,55,21.6,0.0,7
2013-01-26,18.6,28.9,23.75,52,18.1,0.0,19
2013-01-27,18.5,28.6,23.55,54,17.0,0.0,47
2013-01-28,17.5,28.5,23.0,64,12.6,0.0,11
2013-01-29,16.7,28.9,22.799999999999997,69,10.9,0.0,1
2013-01-30,17.3,27.8,22.55,73,9.9,0.0,63
2013-01-31,17.8,28.6,23.200000000000003,72,9.7,0.0,36
2013-02-01,17.5,30.1,23.8,67,11.8,0.0,9
2013-02-02,18.9,30.0,24.45,61,9.3,0.0,60
2013-02-03,18.6,30.2,24.4,62,18.7,0.0,23
2013-02-04,20.8,26.8,23.8,73,21.0,0.0,17
2013-02-05,19.3,26.1,22.700000000000003,62,17.8,0.0,6
2013-02-06,17.8,25.3,21.55,48,24.7,0.0,11
2013-02-07,15.7,27.4,21.549999999999997,42,22.8,0.0,0
2013-02-08,18.7,29.4,24.049999999999997,44,24.4,0.0,0
2013-02-09,19.3,30.3,24.8,45,21.6,0.0,0
2013-02-10,20.7,30.6,25.65,56,16.2,0.0,0
2013-02-11,20.4,31.1,25.75,60,13.0,0.0,4
2013-02-12,22.3,31.7,27.0,54,14.6,0.0,10
2013-02-13,22.0,32.2,27.1,49,15.0,0.0,2
2013-02-14,22.7,31.9,27.299999999999997,50,15.1,0.0,6
2013-02-15,21.6,30.6,26.1,56,22.9,0.1,12
2013-02-16,20.4,25.3,22.85,53,22.4,0.0,16
2013-02-17,17.1,26.0,21.55,53,13.2,0.0,1
2013-02-18,17.5,28.8,23.15,45,15.0,0.0,0
2013-02-19,19.1,29.9,24.5,44,13.7,0.0,0
2013-02-20,19.6,31.0,25.3,42,14.2,0.0,0
2013-02-21,20.5,31.9,26.2,45,15.2,0.0,0
2013-02-22,18.6,31.2,24.9,60,15.5,0.0,0
2013-02-23,21.0,30.1,25.55,53,15.3,0.0,0
2013-02-24,19.6,29.8,24.700000000000003,44,18.7,0.0,0
2013-02-25,19.7,31.6,25.65,47,15.8,0.0,0
2013-02-26,18.5,30.0,24.25,65,20.2,0.0,0
2013-02-27,19.3,29.0,24.15,51,16.5,0.0,0
2013-02-28,19.3,30.9,25.1,40,18.8,0.0,0
2013-03-01,20.3,33.1,26.700000000000003,34,20.7,0.0,0
2013-03-02,21.5,32.9,27.2,33,19.8,0.0,0
2013-03-03,20.3,34.1,27.200000000000003,32,16.3,0.0,0
2013-03-04,20.5,34.3,27.4,34,13.5,0.0,0
2013-03-05,21.3,35.0,28.15,32,14.7,0.0,0
2013-03-06,21.9,34.8,28.349999999999998,31,13.2,0.0,0
2013-03-07,22.6,35.8,29.2,31,15.9,0.0,0
2013-03-08,22.0,35.3,28.65,35,12.5,0.0,0
2013-03-09,21.7,34.8,28.25,38,16.6,0.0,0
2013-03-10,19.9,32.5,26.2,46,14.6,0.0,0
2013-03-11,20.3,32.7,26.5,63,15.8,0.0,72
2013-03-12,21.9,31.7,26.799999999999997,59,17.6,0.0,79
2013-03-13,22.3,30.4,26.35,68,20.3,0.0,56
2013-03-14,21.5,31.7,26.6,65,16.5,0.0,1
2013-03-15,21.0,34.0,27.5,51,15.3,0.0,2
2013-03-16,23.3,33.7,28.5,40,14.4,0.0,2
2013-03-17,21.2,33.6,27.4,54,15.2,0.0,0
2013-03-18,23.3,34.7,29.0,42,13.4,0.0,0
2013-03-19,22.0,32.7,27.35,59,18.7,0.0,0
2013-03-20,22.8,33.0,27.9,55,20.2,0.0,9
2013-03-21,20.5,33.2,26.85,51,13.5,0.0,12
2013-03-22,22.9,32.4,27.65,60,16.4,0.0,78
2013-03-23,22.6,32.4,27.5,65,18.8,0.0,1
2013-03-24,22.7,32.9,27.799999999999997,60,15.8,0.0,1
2013-03-25,23.3,35.3,29.299999999999997,42,16.3,0.0,47
2013-03-26,25.3,33.7,29.5,48,20.6,0.0,84
2013-03-27,23.4,31.4,27.4,62,16.5,0.0,70
2013-03-28,22.6,32.2,27.400000000000002,64,21.3,0.0,22
