date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,13.1,26.4,19.75,31,14.2,0.0,1
2013-01-09,13.8,28.4,21.1,37,10.8,0.0,0
2013-01-10,13.6,29.2,21.4,36,9.7,0.0,0
2013-01-11,14.3,30.1,22.200000000000003,38,10.9,0.0,0
2013-01-12,13.7,30.9,22.299999999999997,46,9.8,0.0,0
2013-01-13,14.1,30.7,22.4,55,10.1,0.0,0
2013-01-14,16.0,30.9,23.45,63,8.9,0.0,0
2013-01-15,16.4,29.6,23.0,55,8.4,0.0,38
2013-01-16,16.5,29.3,22.9,53,10.3,0.0,97
2013-01-17,15.3,29.6,22.450000000000003,59,15.2,0.0,31
2013-01-18,14.5,23.0,18.75,54,14.6,0.0,2
2013-01-19,11.2,25.4,18.299999999999997,42,14.6,0.0,0
2013-01-20,13.5,26.2,19.85,34,15.6,0.0,0
2013-01-21,13.4,26.7,20.05,32,14.7,0.0,0
2013-01-22,14.2,28.1,21.15,33,15.4,0.0,0
2013-01-23,16.1,28.7,22.4,35,15.0,0.0,0
2013-01-24,16.5,28.4,22.45,43,16.1,0.0,7
2013-01-25,17.0,28.4,22.7,42,15.0,0.0,8
2013-01-26,16.9,28.9,22.9,35,15.8,0.0,16
2013-01-27,17.3,29.4,23.35,37,13.2,0.0,48
2013-01-28,17.0,29.6,23.3,48,11.3,0.0,18
2013-01-29,17.2,30.5,23.85,43,13.0,0.0,20
2013-01-30,17.5,30.8,24.15,46,9.1,0.0,56
2013-01-31,19.2,31.3,25.25,47,8.3,0.0,70
2013-02-01,16.8,32.2,24.5,54,7.8,0.0,8
2013-02-02,17.3,32.6,24.950000000000003,47,8.5,0.0,69
2013-02-03,18.3,32.8,25.549999999999997,47,9.8,0.0,28
2013-02-04,19.9,28.8,24.35,58,13.2,0.0,29
2013-02-05,17.9,27.9,22.9,59,15.8,0.0,14
2013-02-06,14.9,26.3,20.6,39,12.0,0.0,13
2013-02-07,12.6,28.5,20.55,37,14.8,0.0,0
2013-02-08,17.0,29.2,23.1,33,15.6,0.0,0
2013-02-09,16.2,30.4,23.299999999999997,36,15.1,0.0,0
2013-02-10,19.0,33.1,26.05,50,10.8,0.0,0
2013-02-11,19.3,33.7,26.5,53,8.4,0.1,7
2013-02-12,21.1,33.6,27.35,49,10.1,0.0,15
2013-02-13,20.0,34.2,27.1,43,9.7,0.0,3
2013-02-14,20.7,33.6,27.15,41,10.5,0.0,15
2013-02-15,21.2,31.5,26.35,49,11.7,0.0,21
2013-02-16,18.0,25.4,21.7,45,16.9,0.0,17
2013-02-17,13.5,26.3,19.9,49,9.2,0.0,0
2013-02-18,14.3,29.4,21.85,44,12.1,0.0,0
2013-02-19,17.1,30.7,23.9,41,9.4,0.0,5
2013-02-20,17.0,31.6,24.3,41,11.3,0.0,0
2013-02-21,19.0,33.7,26.35,39,11.3,0.0,0
2013-02-22,17.9,34.0,25.95,44,8.2,0.0,0
2013-02-23,18.9,31.7,25.299999999999997,45,13.7,0.0,0
2013-02-24,18.0,30.6,24.3,39,13.1,0.0,0
2013-02-25,19.3,32.8,26.049999999999997,37,15.3,0.0,0
2013-02-26,17.4,34.3,25.849999999999998,37,17.1,0.0,0
2013-02-27,17.2,30.4,23.799999999999997,43,10.4,0.0,0
2013-02-28,16.6,32.1,24.35,32,11.0,0.0,0
2013-03-01,19.4,33.9,26.65,27,15.7,0.0,0
2013-03-02,18.5,34.0,26.25,24,12.2,0.0,0
2013-03-03,18.6,35.9,27.25,24,11.8,0.0,0
2013-03-04,17.9,36.5,27.2,25,9.3,0.0,0
2013-03-05,19.2,37.1,28.15,26,9.5,0.0,0
2013-03-06,20.7,37.0,28.85,24,10.2,0.0,0
2013-03-07,21.2,37.5,29.35,23,10.8,0.0,0
2013-03-08,21.1,37.9,29.5,22,10.0,0.0,0
2013-03-09,19.5,36.7,28.1,27,10.0,0.0,0
2013-03-10,19.0,35.0,27.0,34,9.5,0.0,0
2013-03-11,20.2,35.7,27.950000000000003,42,9.7,0.0,64
2013-03-12,20.1,35.7,27.900000000000002,41,10.7,0.0,78
2013-03-13,19.9,34.3,27.099999999999998,51,13.0,0.0,35
2013-03-14,19.3,34.5,26.9,49,10.5,0.0,2
2013-03-15,19.9,35.8,27.849999999999998,29,12.1,0.0,1
2013-03-16,23.3,36.2,29.75,32,15.0,0.0,6
2013-03-17,22.6,35.6,29.1,44,14.0,0.0,1
2013-03-18,23.1,36.3,29.7,33,13.4,0.0,0
2013-03-19,23.4,37.0,30.2,30,12.2,0.0,6
2013-03-20,21.2,36.0,28.6,40,11.3,0.0,12
2013-03-21,18.7,35.4,27.049999999999997,39,9.5,0.0,25
2013-03-22,22.7,35.1,28.9,38,12.7,0.0,75
2013-03-23,21.2,35.6,28.4,45,10.4,0.0,1
2013-03-24,21.3,35.3,28.299999999999997,43,10.4,0.0,0
2013-03-25,22.6,36.9,29.75,26,11.0,0.0,40
2013-03-26,22.9,37.2,30.05,26,11.9,0.0,80
2013-03-27,24.5,33.9,29.2,40,12.8,0.0,69
2013-03-28,22.9,34.5,28.7,43,12.6,0.0,33
2013-03-29,20.9,34.0,27.45,41,14.5,0.0,5
2013-03-30,20.7,35.3,28.0,34,12.7,0.0,11
2013-03-31,22.9,37.0,29.95,28,10.0,0.0,42
2013-04-01,21.7,37.5,29.6,29,10.9,0.0,0
2013-04-02,21.5,35.5,28.5,37,14.7,0.0,0
2013-04-03,21.3,34.1,27.700000000000003,43,12.9,0.0,0
2013-04-04,20.7,36.4,28.549999999999997,49,9.9,0.0,0
2013-04-05,24.2,38.8,31.5,26,11.2,0.0,0
2013-04-06,22.7,39.0,30.85,21,11.3,0.0,0
2013-04-07,22.2,38.2,30.200000000000003,36,12.1,0.0,0
2013-04-08,21.3,36.9,29.1,31,12.3,0.0,45
2013-04-09,22.5,37.0,29.75,38,10.2,0.0,11
2013-04-10,25.1,37.0,31.05,35,12.6,0.0,5
2013-04-11,22.4,37.2,29.8,32,11.6,0.0,0
2013-04-12,22.4,38.2,30.3,39,11.4,0.0,0
2013-04-13,22.3,39.9,31.1,32,13.5,0.0,0
2013-04-14,22.8,40.1,31.450000000000003,31,12.3,0.0,0
