date,min_temp,max_temp,avg_temp,humidity,wind_speed,precipitation,cloud_cover
2013-01-08,20.7,27.5,24.1,81,13.2,0.0,35
2013-01-09,22.0,26.4,24.2,78,17.2,0.4,34
2013-01-10,20.8,26.7,23.75,79,14.8,0.0,29
2013-01-11,20.3,26.2,23.25,76,11.1,0.0,15
2013-01-12,18.4,27.2,22.799999999999997,76,10.6,0.0,2
2013-01-13,17.7,27.7,22.7,71,13.1,0.0,0
2013-01-14,17.4,27.7,22.549999999999997,77,12.6,0.0,31
2013-01-15,19.4,27.2,23.299999999999997,80,13.7,0.0,6
2013-01-16,19.3,27.3,23.3,80,11.6,0.0,2
2013-01-17,18.7,27.9,23.299999999999997,78,12.5,0.0,3
2013-01-18,20.4,27.0,23.7,75,15.6,0.0,15
2013-01-19,18.0,26.7,22.35,77,11.8,0.0,4
2013-01-20,17.6,26.8,22.200000000000003,75,13.2,0.0,26
2013-01-21,19.9,26.7,23.299999999999997,73,16.2,0.0,18
2013-01-22,20.1,26.7,23.4,74,18.4,0.7,16
2013-01-23,21.1,26.6,23.85,75,17.2,0.1,19
2013-01-24,20.0,26.9,23.45,75,18.8,0.0,9
2013-01-25,20.4,27.0,23.7,71,13.1,0.0,8
2013-01-26,20.1,26.9,23.5,73,14.1,0.0,13
2013-01-27,19.8,26.8,23.3,75,9.7,0.0,39
2013-01-28,19.2,26.3,22.75,80,12.9,0.7,31
2013-01-29,20.3,26.7,23.5,78,13.4,0.1,19
2013-01-30,20.4,26.8,23.6,77,14.9,0.0,20
2013-01-31,20.0,26.4,23.2,75,11.8,0.0,32
2013-02-01,18.1,27.0,22.55,74,13.9,0.0,31
2013-02-02,18.5,26.9,22.7,75,12.3,0.0,23
2013-02-03,18.4,27.5,22.95,74,11.3,0.0,36
2013-02-04,18.0,27.7,22.85,73,14.4,0.0,22
2013-02-05,18.9,27.8,23.35,75,11.4,0.0,9
2013-02-06,19.9,28.2,24.049999999999997,74,10.8,0.0,57
2013-02-07,19.7,29.7,24.7,73,15.5,0.0,17
2013-02-08,19.3,29.1,24.200000000000003,76,13.2,0.0,7
